Estación,Ubicación
Veintidós de Agosto,https://www.google.com/maps/place/Estaci%C3%B3n+22+de+Agosto+-+Metropolitano/@-11.9466928,-77.0606466,19z/data=!4m6!3m5!1s0x9105d174f12f3215:0xb697ac91a38d8d1!8m2!3d-11.9466452!4d-77.0605922!16s%2Fg%2F11t16h69kn!5m1!1e2?entry=ttu&g_ep=EgoyMDI1MTIwMi4wIKXMDSoASAFQAw%3D%3D
José Pagador,https://www.google.com/maps/place/Estaci%C3%B3n+Jos%C3%A9+Pagador+-+Metropolitano/@-11.9518004,-77.0600538,19z/data=!4m6!3m5!1s0x9105d18f0bf0b7af:0x6c93dbbd232e731f!8m2!3d-11.9520554!4d-77.0600192!16s%2Fg%2F11t16hd8tr!5m1!1e2?entry=ttu&g_ep=EgoyMDI1MTIwMi4wIKXMDSoASAFQAw%3D%3D
Las Vegas,https://www.google.com/maps/place/Estaci%C3%B3n+Las+Vegas+-+Metropolitano/@-11.9548032,-77.0603851,19z/data=!4m6!3m5!1s0x9105cf25b897a947:0x43fcc38c16b2eeb0!8m2!3d-11.9548874!4d-77.059923!16s%2Fg%2F11t16hb275!5m1!1e2?entry=ttu&g_ep=EgoyMDI1MTIwMi4wIKXMDSoASAFQAw%3D%3D
Universitaria,https://www.google.com/maps/place/Estaci%C3%B3n+Universitaria+-+Metropolitano/@-11.9585809,-77.0610919,19z/data=!4m6!3m5!1s0x9105cf800d94556d:0x1e000507f47c0afa!8m2!3d-11.9581796!4d-77.0605262!16s%2Fg%2F11s3356t8l!5m1!1e2?entry=ttu&g_ep=EgoyMDI1MTIwMi4wIKXMDSoASAFQAw%3D%3D
Universidad,https://www.google.com/maps/place/Estaci%C3%B3n+Universidad+-+Metropolitano/@-11.9625284,-77.062924,19z/data=!4m6!3m5!1s0x9105cfa77a9c8e81:0xd4b4e256d989f4a8!8m2!3d-11.9627856!4d-77.0623263!16s%2Fg%2F11q4jmxmcz!5m1!1e2?entry=ttu&g_ep=EgoyMDI1MTIwMi4wIKXMDSoASAFQAw%3D%3D
Maestro Peruano,-11.965154369554302, -77.06177479851397
Los Platinos,-11.969808851409882, -77.06077570168708
Santa Ligia,https://www.google.com/maps/place/Estaci%C3%B3n+Santa+Ligia+-+Metropolitano/@-11.9738452,-77.0600212,3a,75y,127.83h,90.98t/data=!3m7!1e1!3m5!1sh-3HPaob0ZfcBSCfsuiC8A!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D-0.9770878627215325%26panoid%3Dh-3HPaob0ZfcBSCfsuiC8A%26yaw%3D127.83338492021902!7i16384!8i8192!4m6!3m5!1s0x9105cf138d38552d:0x49e07a5e909ef3e5!8m2!3d-11.9739763!4d-77.059873!16s%2Fg%2F11lct5q05g?entry=ttu&g_ep=EgoyMDI1MTIwMi4wIKXMDSoASAFQAw%3D%3D
Naranjal,google.com/maps/place/Estación+Naranjal+Metropolitano/@-11.9823062,-77.0586293,20.2z/data=!4m6!3m5!1s0x9105cf002f258b77:0x4bfc5493ffe664b!8m2!3d-11.9821275!4d-77.0587452!16s%2Fg%2F11x8n_k0zz?entry=ttu&g_ep=EgoyMDI1MTIwMi4wIKXMDSoASAFQAw%3D%3D
Izaguirre,https://www.google.com/maps/place/Estaci%C3%B3n+Izaguirre+-+Metropolitano/@-11.9891768,-77.0575608,18.8z/data=!4m6!3m5!1s0x9105cfd7f9f155eb:0xc32618ba5cdff819!8m2!3d-11.9896113!4d-77.0570433!16s%2Fg%2F11mq7jkl_g?entry=ttu&g_ep=EgoyMDI1MTIwMi4wIKXMDSoASAFQAw%3D%3D
