codigo_antiguo,codigo_nuevo,distrito_origen,distrito_destino,empresa_operadora,empresa_abrev,alias,color_hex
4504,1068,Huaycán,Lima,Nuevo Perú,,La HGK - El Huaycanero,#0801B0
4507,1069,Ricardo Palma,Lima,Nueva Era Señor de Muruhuay,ETSNESMSA,El Chosicano,#1F25FF
4510,1070,Ate,Jesús María,Bronco,ETBRONSA,Ninguno,#9E1414
4511,1071,Ate,Lima,Virgen de Copacabana,MIVICOSAC,La IC,#0758B5
4607,1072,Ate,La Victoria,Unidos San Martín de Porres,ETUSMPSA,Ninguno,#0012BA
4609,1073,Ate,San Isidro,Nuestra Señora del Sagrado Corazón,ETNUSSACSA,La B,#213091
4610,1074,Ate,San Isidro,Miraflores Monterrico,ETMIMSA,La B - La 112,#213191
4611,1075,Lurigancho/Chosica,La Victoria,San Juan Bautista,ETSSJBSA,La 51,#0000B2
4612,1076,Huaycán,La Victoria,Comercialización 14 de Mayo,,Ninguno,#00B20B
4613,1077,Huaycán,La Victoria,Perla de Los Andes,TRASMPERSAC,Ninguno,#00B212
4614,1078,Ate,La Victoria,Sesentitrés,,La 63,#74574D
4618,1079,Ate,La Victoria,Unidos San Martín de Porres,ETUSMPSA,Ninguno,#0012BA
4619,1080,Huaycán,La Victoria,Huaycán,ETRANTURHSA,La HCT - El Huaycanero,#1BBEA4
4620,1081,Huaycán,La Victoria,Urbano Huaycán,,Ninguno,#D61406
4622,1082,Ate,Miraflores,Angamos,,Ninguno,#FFEF07
4623,1083,Huaycán,La Victoria,Sin Fronteras,,Ninguno,#FFA128
4703,1084,Ate,Chorrillos,Consorcio Santo Cristo,,La 91,#0B10A7
5401,1085,Lima,Santa Eulalia,Turismo Carretera Central,EMTRACACE,El Chosicano,#26AD05
6901,1086,San Borja,Callao,Magdalena-San Miguel,ETRAMSMSA,Ninguno,#A89E7F
7501,1087,Chorrillos,Jesús María,Unidos,ETUSA,La 52T,#90323B
7505,1088,Chorrillos,Lima,Renacimiento,SGTRENSA,Ninguno,#7CFE0A
7601,1089,San Juan de Miraflores,Lince,ATCRSA,ATCRSA,La 24,#E80101
7606,1090,Chorrillos,San Isidro,Unidos Chama,,La C,#E00101
7607,1091,San Juan de Miraflores,La Victoria,160,,La 160,#1364A3
7610,1092,Chorrillos,La Victoria,San Genaro,ETSEMUSAGESA,Ninguna,#C41009
7612,1093,San Juan de Miraflores,San Isidro,Sur Primero de Junio,ETPRIJUSAC,La I,#4A5560
7613,1094,San Juan de Miraflores,Miraflores,Unidos Doce de Noviembre,ETUSA,La C,#0018B2
7614,1095,Chorrillos,Miraflores,Servicios Turismo e Inversiones Norteamérica,,La 57,#0DBD7C
8302/CH24,1096,Villa El Salvador,San Juan de Lurigancho,Luis Banchero Rossi,LUBARSA,La B - La Banchero,#FEFF1C
8306,1097,Villa El Salvador,San Juan de Lurigancho,Santo Cristo de Pachacamilla,ETRASCPSA,La 10E,#7B47A0
8308,1098,Lurín,San Juan de Lurigancho,Urbano Línea 4,ETUL4SA,La 08 - La L,#E3B03F
8403,1099,Villa María del Triunfo,Jesús Maria,Luis Banchero Rossi,LUBARSA,La 9 - La Banchero,#EBF037
8404,1100,Villa María del Triunfo,Huaycán,Urbano Línea 4,ETUL4SA,La P,#E3B03F
8513,1107,Villa El Salvador,Lima,Montenegro,ETMOSAC,La C,#28C6FF
8520,1108,Villa el Salvador,Lima,Santa Catalina,ESTSACASA,La 23A,#18B200
8523,1109,Villa María del Triunfo,Miraflores,Esfuerzos Unidos,ETEUSA,La 25,#38971B
8524,1110,Pachacámac,Lima,Unidos Chama,,La G,#FF0000
8525,1111,Villa María del Triunfo,Lima,Unidos de Pasajeros,ETUPSA,La 73A,#ABCA56
8602,1112,Pachacámac,La Victoria,Red Lima Móvil,,Ninguno,#20CAD1
8604,1113,Villa María del Triunfo,Miraflores,Translima,,Ninguno,#009FE3
8605,1114,Villa El Salvador,San Isidro,Los Ángeles del Perú,ETRAPERSAC,La D2,#0007FF
8611,1115,Lurín,Miraflores,Express Pachacámac,ETEPSA,La A,#0005B8
8612,1116,Pachacámac,Miraflores,Edilberto Ramos,ETERSAC,La A,#FEFF00
8614,1117,Villa María del Triunfo,Miraflores,Tablada 2000,ETTADOSA,Ninguna,#FFC528
8616,1118,Villa María del Triunfo,Miraflores,Urano Tours,,La U,#FE1414
8617,1119,Villa El Salvador,Miraflores,ATCRSA,ATCRSA,La D,#E80101
8618,1120,Pachacámac,La Victoria,Real Star del Perú,,La 190,#D6B618
8619,1121,Villa El Salvador,La Victoria,Consorcio Línea 3,,La A,#26C716
8621,1122,Villa El Salvador,La Victoria,Lapso,,La 6,#FEFF00
8626,1123,Pachacámac,Miraflores,Unidos Chama,,La A,#DF3221
8703,1124,Villa María del Triunfo,Surquillo,Expreso Tablada Y Asociados,,Ninguno,#FFB028
8704,1125,Villa María del Triunfo,Surquillo,Purca Gabriel Cora Cora,,Ninguno,#0DE7FE
8711,1126,Lurín,Surquillo,Villa Alejandro,,Ninguno,#47B200
8714,1127,Lurín,Surquillo,Esmirla Zevallos,,Ninguno,#FF0404
