codigo_antiguo,codigo_nuevo,distrito_origen,distrito_destino,empresa_operadora,empresa_abrev,alias,color_hex,estado
1410,,Carabayllo,La Molina,Castro Fuentes,KEVJIDSA,Desconocido,#2E39C9,Inactiva
1411,,Carabayllo,Ate,Cruz del Centro,,La 02,#002FC9,Activa
1412,,Carabayllo,Ate,La Encantada,,La E,#02A9FD,Activa
1501,,Puente Piedra,San Miguel,San Felipe,ETISSFESA,Desconocido,#FF1212,Activa
1502,,Puente Piedra,Lima,Amancaes,ETAMSA,La 87B,#FFCD82,Activa
1503,,Carabayllo,Magdalena del Mar,Express del Perú,GEP,La 03,#210BA3,Activa
1504,,Carabayllo,Pueblo Libre,Comercializadora e Importadora Unidos Punchauca,ETCIPSA,La 06,#762CB9,Activa
1505,,Puente Piedra,Magdalena del Mar,Mariscal Ramón Castilla,ETMRCSA,La 46B,#143AB8,Activa
1506,,Carabayllo,Pueblo Libre,Translima,,La 47,#007DC4,Activa
1507,,Ancón,Lima,El Anconero,EMTEANSAC,El Anconero,#FFFF00,Inactiva
1508,,Carabayllo,San Miguel,Unión Nacional,ESTUNSAC,La B,#FF0F0F,Activa
1509,,Carabayllo,Magdalena del Mar,Multiservicios Nueva Imagen,ETYMUNISA,La B,#FF0F0F,Inactiva
1510,,Carabayllo,Jesús María,Translima,,Desconocido,#7CBEF7,Inactiva
1511,,Puente Piedra,San Miguel,Consorcio Vía,,La O,#1E7376,Activa
1512,,Carabayllo,San Miguel,Castro Fuentes,KEVJIDSA,Desconocido,#2E39C9,Inactiva
1513,,Carabayllo,Magdalena del Mar,Nor Lima,ETNOLSA,La N - La F,#F22711,Activa
1514,,Carabayllo,San Miguel,J.C. Bus,,La JC,#F21000,Activa
1515,,Carabayllo,Magdalena del Mar,Palmari,,La P1,#A62999,Inactiva
1516,,Puente Piedra,Jesús María,José Leal Cocharcas,ETJLCSA,La 41 - La Cocharcas,#140099,Inactiva
1517,,Ancón,Jesús María,Turismo e Inversiones Señor de La Soledad,SESOSA,Desconocido,#BABABA,Inactiva
1518,,Carabayllo,Jesús María,Translima,,La 18,#017BA1,Activa
1519,,Carabayllo,San Miguel,Nueva América,TRANSNASA,La B,#E1963C,Inactiva
1601,,Comas,San Luis,Túpac Amaru,ETSETASAC,Desconocido,#D1CCC0,Inactiva
1602,,Comas,San Luis,Catorce de Diciembre,,Desconocido,#26913B,Activa
1603,,Puente Piedra,San Luis,Turismo e Inversiones Señor de La Soledad,SESOSA,Desconocido,#BABABA,Inactiva
1604,,Carabayllo,Lince,Miguel Grau,ETMIGRASA,La MG,#121213,Activa
1605,,Ancón,Jesús María,Turismo e Inversiones Señor de La Soledad,SESOSA,Desconocido,#BDBDBD,Inactiva
1606,,Ancón,San Luis,Virgen de La Puerta,VIPUSA,La C,#25612B,Inactiva
1607,,Ancón,La Victoria,La Buena Estrella,,Desconocido,#0000B3,Activa
1608,,Ancón,La Victoria,Novobus,,Desconocido,#0000BF,Activa
1609,,Carabayllo,Miraflores,Urano Tours,,La A,#E08207,Inactiva
1610,,Carabayllo,San Luis,Once de Noviembre,EMPTONSA,Desconocido,#56CCA1,Activa
1611,,Puente Piedra,Lince,Palmari,,La P,#D10F0F,Activa
1612,,Puente Piedra,Miraflores,Santa Luzmila,ETSLUSA,La C,#264720,Activa
1614,,Puente Piedra,Lince,José Leal Cocharcas,ETJLCSA,La 41 - La Cocharcas,#140099,Inactiva
1615,,Carabayllo,Lince,CKF,,La F,#D10F0F,Activa
1616,,Ancón,San Luis,Virgen de La Puerta,VIPUSA,La B,#157D2A,Inactiva
1617,,Carabayllo,Miraflores,Norcom Corporation,,Desconocido,#D10F0F,Inactiva
1618,,Carabayllo,Lince,Nueva América,TRANSNASA,La B,#FA8E00,Activa
1701,,Ancón,Santiago de Surco,Turismo e Inversiones Señor de La Soledad,SESOSA,Desconocido,#BABABA,Activa
1702,,Carabayllo,San Juan de Miraflores,Nueva América,TRANSNASA,La A,#FA8E00,Activa
1703,,Puente Piedra,Chorrillos,Perú,,La 70,#247506,Activa
1704,,Carabayllo,San Juan de Miraflores,Vencedores C&P Inversiones,,La V,#3B68FF,Activa
1705,,Carabayllo,Santiago de Surco,Sinchi Roca,ETSIRSA,La SR,#FFA500,Activa
1706,,Carabayllo,Santiago de Surco,Urano Tours,,La A,#A6411A,Activa
1707,,Ancón,San Juan de Miraflores,Virgen de La Puerta,VIPUSA,La C,#079607,Activa
1801,,Santa Rosa,Pachacámac,Edilberto Ramos,ETERSAC,La B39 - La C,#00B8FF,Activa
1802,,Puente Piedra,Villa El Salvador,Urbano Los Chinos,ETUCHISA,La A - El Chino,#00B8FF,Activa
1803,,Carabayllo,Villa El Salvador,La Encantada,,La C,#5EA9FF,Inactiva
1804,,Ancón,Pachacámac,Virgen de La Puerta,VIPUSA,La A - el Anconero,#27781A,Inactiva
1901,,Puente Piedra,La Perla,Consorcio Vía,,La O,#1E7376,Activa
2101,,Independencia,Puente Piedra,Urbano Víctor Raúl Haya de La Torre,EMTURSASRL,Desconocido,#128216,Inactiva
2201,,Independencia,Independencia,Alimentadora El Volante y San Albino,ETAVASA,Desconocido,#E5ED00,Inactiva
2202,,Independencia,Independencia,San Juan de Dios El Ermitaño,ETSJDESA,Desconocido,#1425B8,Inactiva
2203,,San Martín de Porres,San Martín de Porres,Belaúnde Oeste,ETBOSA,Desconocido,#FFF70A,Activa
2204,,San Martín de Porres,San Martín de Porres,Nor Lima,ETNOLSA,La U - La A - La B - La C,#00BBFF,Activa
2205,,Los Olivos,San Martín de Porres,Los Alizos,,Desconocido,#FF40E5,Inactiva
2206,,San Martín de Porres,San Martín de Porres,29 de Junio,ETSJUSA,Desconocido,#FF9924,Inactiva
2207,,San Martín de Porres,San Martín de Porres,Señor de La Justicia,ETSEJUSA,Desconocido,#002D87,Inactiva
2208,,San Martín de Porres,San Martín de Porres,Unidos Para Triunfar,ETSUTRISA,Desconocido,#FF1E05,Activa
2209,,San Martín de Porres,Rímac,Unidos de Pasajeros,ETUPSA,La 73B,#006614,Activa
2210,,San Martín de Porres,Rímac,Virgen de Fátima,EVIFASA,La A,#A5C5EB,Inactiva
2211,,San Martín de Porres,Rímac,Diecisiete de Junio,ETRADIJUSA,La 44B,#FF0800,Inactiva
2212,,San Martín de Porres,Rímac,Especial Solidaridad,EMTESSA,La S2,#0F8A01,Inactiva
