codigo_antiguo,codigo_nuevo,distrito_origen,distrito_destino,empresa_operadora,empresa_abrev,alias,color_hex,fuente
4610,1074,Ate,San Isidro,Miraflores Monterrico,ETMIMSA,La B - La 112,#1E2C82,wikipedia
4611,1075,Lurigancho/Chosica,La Victoria,San Juan Bautista,ETSSJBSA,La 51,#00008A,wikipedia
4612,1076,Huaycán,La Victoria,Comercialización 14 de Mayo,,Ninguno,#00990A,wikipedia
4613,1077,Huaycán,La Victoria,Perla de Los Andes,TRASMPERSAC,Ninguno,#006B0B,wikipedia
4614,1078,Ate,La Victoria,Sesentitrés,,La 63,#75574D,wikipedia
4618,1079,Ate,La Victoria,Unidos San Martín de Porres,ETUSMPSA,Ninguno,#0013BA,wikipedia
4619,1080,Huaycán,La Victoria,Huaycán,ETRANTURHSA,La HCT - El Huaycanero,#1BBFA4,wikipedia
4620,1081,Huaycán,La Victoria,Urbano Huaycán,,Ninguno,#D61406,wikipedia
4622,1082,Ate,Miraflores,Angamos,,Ninguno,#FFEF08,wikipedia
4623,1083,Huaycán,La Victoria,Sin Fronteras,,Ninguno,#FFA229,wikipedia
4703,1084,Ate,Chorrillos,Consorcio Santo Cristo,,La 91,#070A66,wikipedia
5401,1085,Lima,Santa Eulalia,Turismo Carretera Central,EMTRACACE,El Chosicano,#25A605,wikipedia
6901,1086,San Borja,Callao,Magdalena-San Miguel,ETRAMSMSA,Ninguno,#B8B097,wikipedia
7501,1087,Chorrillos,Jesús María,Unidos,ETUSA,La 52T,#90333B,wikipedia
7505,1088,Chorrillos,Lima,Renacimiento,SGTRENSA,Ninguno,#7CFF0A,wikipedia
7601,1089,San Juan de Miraflores,Lince,ATCRSA,ATCRSA,La 24,#E80202,wikipedia
7606,1090,Chorrillos,San Isidro,Unidos Chama,,La C,#E00202,wikipedia
7607,1091,San Juan de Miraflores,La Victoria,160,,La 160,#1465A3,wikipedia
7610,1092,Chorrillos,La Victoria,San Genaro,ETSEMUSAGESA,Ninguna,#C4100A,wikipedia
7612,1093,San Juan de Miraflores,San Isidro,Sur Primero de Junio,ETPRIJUSAC,La I,#0F0F0F,wikipedia
7613,1094,San Juan de Miraflores,Miraflores,Unidos Doce de Noviembre,ETUSA,La C,#0016A3,wikipedia
7614,1095,Chorrillos,Miraflores,Servicios Turismo e Inversiones Norteamérica,,La 57,#0DBD7C,wikipedia
8302/CH24,1096,Villa El Salvador,San Juan de Lurigancho,Luis Banchero Rossi,LUBARSA,La B - La Banchero,#FFFF1C,wikipedia
8306,1097,Villa El Salvador,San Juan de Lurigancho,Santo Cristo de Pachacamilla,ETRASCPSA,La 10E,#7C47A1,wikipedia
8308,1098,Lurín,San Juan de Lurigancho,Urbano Línea 4,ETUL4SA,La 08 - La L,#E3B03F,wikipedia
8403,1099,Villa María del Triunfo,Jesús Maria,Luis Banchero Rossi,LUBARSA,La 9 - La Banchero,#F4F78F,wikipedia
8404,1100,Villa María del Triunfo,Huaycán,Urbano Línea 4,ETUL4SA,La P,#E3B03F,wikipedia
8513,1107,Villa El Salvador,Lima,Montenegro,ETMOSAC,La C,#59D3FF,wikipedia
8520,1108,Villa el Salvador,Lima,Santa Catalina,ESTSACASA,La 23A,#0C5700,wikipedia
8523,1109,Villa María del Triunfo,Miraflores,Esfuerzos Unidos,ETEUSA,La 25,#276913,wikipedia
8524,1110,Pachacámac,Lima,Unidos Chama,,La G,#FF0000,wikipedia
8525,1111,Villa María del Triunfo,Lima,Unidos de Pasajeros,ETUPSA,La 73A,#ACCB56,wikipedia
8602,1112,Pachacámac,La Victoria,Red Lima Móvil,,Ninguno,#21CBD1,wikipedia
8604,1113,Villa María del Triunfo,Miraflores,Translima,,Ninguno,#009FE3,wikipedia
8605,1114,Villa El Salvador,San Isidro,Los Ángeles del Perú,ETRAPERSAC,La D2,#0008FF,wikipedia
8611,1115,Lurín,Miraflores,Express Pachacámac,ETEPSA,La A,#0006B8,wikipedia
8612,1116,Pachacámac,Miraflores,Edilberto Ramos,ETERSAC,La A,#FFFF00,wikipedia
8614,1117,Villa María del Triunfo,Miraflores,Tablada 2000,ETTADOSA,Ninguna,#FFCB3D,wikipedia
8616,1118,Villa María del Triunfo,Miraflores,Urano Tours,,La U,#FF1414,wikipedia
8617,1119,Villa El Salvador,Miraflores,ATCRSA,ATCRSA,La D,#E80202,wikipedia
8618,1120,Pachacámac,La Victoria,Real Star del Perú,,La 190,#D6B618,wikipedia
8619,1121,Villa El Salvador,La Victoria,Consorcio Línea 3,,La A,#27C716,wikipedia
8621,1122,Villa El Salvador,La Victoria,Lapso,,La 6,#FFFF00,wikipedia
8626,1123,Pachacámac,Miraflores,Unidos Chama,,La A,#DF3322,wikipedia
8703,1124,Villa María del Triunfo,Surquillo,Expreso Tablada Y Asociados,,Ninguno,#FFB12B,wikipedia
8704,1125,Villa María del Triunfo,Surquillo,Purca Gabriel Cora Cora,,Ninguno,#0DE7FF,wikipedia
8711,1126,Lurín,Surquillo,Villa Alejandro,,Ninguno,#398F00,wikipedia
8714,1127,Lurín,Surquillo,Esmirla Zevallos,,Ninguno,#FF0505,wikipedia
8729,1128,Pachacámac,Santiago de Surco,Carrocerías Rivera,,La G - La 65,#68BCEB,wikipedia
8803,1129,Pachacámac,Pachacámac,San Juan de Dios,ETSAJUDSA,La A - La B,#05096E,wikipedia
9503,1130,Carmen de la Legua,Lima,Once de Noviembre,EMPTONSA,Ninguno,#20BA2F,wikipedia
9601,1131,Ventanilla,La Victoria,Virgen de La Puerta,VIPUSA,La D,#0ABF16,wikipedia
9605,1132,Callao,La Victoria,Múltiples Satélite,ETRASEMUSSA,El Urbanito,#004F08,wikipedia
CR04,1133,La Punta,Lima,Señor del Mar,ETSMARSA,Ninguno,#8D17E8,wikipedia
CR07,1134,Callao,La Perla,La Estrella,ETSESAC,La A,#3189CC,wikipedia
CR09,1135,Callao,Lima,Mariscal Ramón Castilla,,La 105,#BDBDBD,wikipedia
CR10,1136,Callao,Lima,Consorcio Nueva Unión,,La 120,#8C6043,wikipedia
CR12,1137,Carabayllo,La Victoria,San Antonio,,Ninguno,#DF2222,wikipedia
CR17,1138,Carabayllo,San Miguel,Chimpum Callao,,Ninguno,#F7FF0F,wikipedia
CR27,1139,Comas,Pueblo Libre,Consorcio Grupo Uvita,,Ninguno,#391170,wikipedia
CR30,1140,Callao,Lima,Milagroso Inmaculado Señor Cautivo de Ayabaca,ETMISCASA,Ninguno,#A322BD,wikipedia
CR31,1141,Callao,Santiago de Surco,Fondo Colectivo de Ayuda Mutua,ETFOCAMSA,Ninguno,#BA0707,wikipedia
CR32,1142,Ventanilla,Lima,Proyecto 7,,Ninguno,#F5D50A,wikipedia
CR38,1143,Callao,Santiago de Surco,Gruplan,,La 524,#FFE642,wikipedia
CR40,1144,Callao,Lima,Conexos Néstor Gambetta,,Ninguna,#38B6FF,wikipedia
CR43,1145,Carabayllo,La Victoria,Callao,TRANSCALLAO,Ninguno,#D6CBC1,wikipedia
CR45,1146,La Punta,Lima,San Benito de Palermo,ETSABEPSA,Ninguno,#EDB313,wikipedia
CR46,1147,La Punta,Lima,Generales Colonial,,Ninguno,#FF00A2,wikipedia
CR47,1148,Callao,Lima,Waylluy,,Ninguno,#941212,wikipedia
CR48,1149,Callao,Lima,Waylluy,,Ninguno,#035220,wikipedia
CR52,1150,Callao,Lima,102,,Ninguno,#EFFF12,wikipedia
CR56,1151,Ventanilla,Lima,Mi Perú Ventanilla,EPTEVESA,Ninguno,#AD3A10,wikipedia
CR61,1152,Ventanilla,Lima,Lima Ventanilla Turismo,LIVENTUR,Ninguno,#136919,wikipedia
CR62,1153,Carabayllo,Carabayllo,San Ignacio de Loyola,ETRASILSA,Ninguno,#400707,wikipedia
