relation_id,route_key,ref,name,color,n_segments
5123174,X-SO42-I,X-SO42-I,X-SO42-I,#bc80bd,243
5123429,X-SM19G-I,X-SM19G-I,X-SM19G-I,#fb8072,236
5141457,X-ECR20-I,X-ECR20-I,X-ECR20-I,#ff7f00,105
5582236,RutaTuristica1,,RutaTuristica1,#fdb462,6
6875057,Mala - Bujama,Mala - Bujama,,#80b1d3,28
16812606,Airport Express Lima,,Airport Express Lima,#ff9da7,242
19413426,1007,1007,Ruta 1007,#1f77b4,396
19572753,1008,1008,Ruta 1008,#ff7f0e,310
19575841,1019,1019,Ruta 1019,#2ca02c,301
19597970,1021,1021,Ruta 1021,#d62728,297
19615026,1023,1023,Ruta 1023,#9467bd,318
19655217,1037,1037,Ruta 1037,#8c564b,219
