seccion,grupo,ruta,ruta_color,codigo_anterior,codigo_anterior_color,alias,origen,destino,empresa,abreviacion
actual,Rutas 1100,1174,#FF0000,OM33,#FF0000,La D1,San Martín de Porres,San Martín de Porres,Corporación Inversiones Los Ángeles del Perú S.A. (CILAP),CILAP
actual,Rutas 1100,1175,#02A9FD,1308,#02A9FD,La P,Puente Piedra,San Juan de Lurigancho,Empresa de Transportes Pegasso Express S.A.,
actual,Rutas 1100,1176,#FF9E00,1404,#FF9E00,La 6M - La Collique,Comas,Ate,Empresa de Transportes Virgen de La Puerta S.A. (EVIPUSA),EVIPUSA
actual,Rutas 1100,1177,#002FC9,1411,#002FC9,La 02,Carabayllo,Ate,Transportes Cruz del Centro S.A.,
actual,Rutas 1100,1178,#02A9FD,1412,#02A9FD,La E,Carabayllo,Ate,Empresa de Transportes La Encantada S.A.,
actual,Rutas 1100,1179,#BABABA,1701,#BABABA,El Anconero,Ancón,Santiago de Surco,Empresa de Transportes Turismo e Inversiones Señor de La Soledad S.A. (SESOSA),SESOSA
actual,Rutas 1100,1180,#FA8E00,1702,#FA8E00,La A,Carabayllo,San Juan de Miraflores,Empresa de Transportes y Servicios Nueva América S.A. (TRANSNASA),TRANSNASA
actual,Rutas 1100,1181,#247506,1703,#247506,La 70,Puente Piedra,Chorrillos,Empresa de Transportes Perú S.A.C.,
actual,Rutas 1100,1182,#3B68FF,1704,#3B68FF,La V,Carabayllo,San Juan de Miraflores,Vencedores C&P Inversiones S.A.C.,
actual,Rutas 1100,1183,#A6411A,1706,#A6411A,La A,Carabayllo,Santiago de Surco,Comunicación Integral Turismo e Inversiones Urano Tours S.A.,
actual,Rutas 1100,1184,#00B8FF,1801,#00B8FF,La B39 - La C,Santa Rosa,Pachacámac,Empresa de Transportes Edilberto Ramos S.A.C. (ETERSAC),ETERSAC
actual,Rutas 1100,1185,#00B8FF,1802,#00B8FF,La A - El Chino,Puente Piedra,Villa El Salvador,Empresa de Transportes Urbano Los Chinos S.A. (ETUCHISA),ETUCHISA
actual,Rutas 1100,1186,#27781A,1804,#27781A,La A - el Anconero,Ancón,Pachacámac,Empresa de Transportes y Servicios Virgen de La Puerta S.A. (VIPUSA),VIPUSA
actual,Rutas 1100,1187,#FFA305,2303,#FFA305,,San Martín de Porres,San Juan de Lurigancho,Empresa de Transportes Señor Nazareno S.A.,
actual,Rutas 1100,1189,#239911,2404,#239911,La 35B,San Martín de Porres,La Molina,Empresa de Transportes y Servicios El Inti S.A. (ETINSA),ETINSA
actual,Rutas 1100,1190,#0839FF,2405,#0839FF,,San Martín de Porres,Santa Anita,Empresa de Servicios y Transportes Inversiones El Rápido S.A. (ESTIRSA),ESTIRSA
actual,Rutas 1100,1191,#085E02,2406,#085E02,La 35A,San Martín de Porres,Ate,Empresa de Transportes y Servicios Múltiples Los Excelentes Unidos S.A.,
actual,Rutas 1100,1192,#FFEE00,2407,#FFEE00,,Independencia,Ate,Empresa de Transportes y Servicios El Sol de Santa Clara S.A. (ETISSA),ETISSA
actual,Rutas 1100,1193,#A31E0F,2408,#A31E0F,La 148,Independencia,Ate,Empresa de Transportes Virgen de la Concepción S.A. (ETVIRCOSA),ETVIRCOSA
actual,Rutas 1100,1194,#A5C5EB,2409,#A5C5EB,La B,San Martín de Porres,Ate,Empresa Virgen de Fátima S.A. (EVIFASA),EVIFASA
actual,Rutas 1100,1195,#D90000,2411,#D90000,La 42 - El Rápido,San Martín de Porres,Lurigancho/Chosica,Empresa de Transportes y Servicios El Rápido S.A. / Grupo Empresarial El Rápido S.A.,
actual,Rutas 1100,1196,#0006CC,2414,#0006CC,La A,Los Olivos,Santa Anita,Transportes Cruz del Centro S.A.,
actual,Rutas 1100,1197,#EB1515,2701,#EB1515,La 44A,San Martín de Porres,Santiago de Surco,Empresa de Transportes Diecisiete de Junio S.A. (ETRADIJUSA),ETRADIJUSA
actual,Rutas 1100,1199,#F5CC6C,2703,#F5CC6C,La 36,San Martín de Porres,Chorrillos,Empresa de Transportes 36 San Martín de Porres S.A. (ET36SMPSA),ET36SMPSA
actual,Rutas 1200,1200,#169E11,2803,#169E11,La 9A,Lince,Villa María del Triunfo,Transportes Ingaruca S.A.C. (TRAINSAC) / Transportes 17 de Noviembre S.A.,
actual,Rutas 1200,1203,#FF00C3,3203,#FF00C3,La C - La 128 - La San Germán,San Juan de Lurigancho,San Martín de Porres,Transportes e Inversiones San Germán S.A. (TISGSA),TISGSA
actual,Rutas 1200,1204,#F0F3AF,3205,#F0F3AF,La 2H,San Juan de Lurigancho,San Martín de Porres,Empresa de Transportes y Servicios Huancayo City S.A. (ETHUCSA 2H),ETHUCSA 2H
actual,Rutas 1200,1205,#FFFF39,3502,#00754E,La E,El Agustino,San Miguel,Empresa de Transporte y Servicios Vargasant S.A.C. / Empresa de Transporte y Servicios Niño Emanuel S.A.C.,
actual,Rutas 1200,1207,#FF9900,3507,#FF9900,La C1,San Juan de Lurigancho,San Miguel,Empresa de Transportes y Servicios La Huayrona S.A.,
actual,Rutas 1200,1210,#0E07D9,4102,#0E07D9,,Santa Anita,Carabayllo,San Felipe Express S.A.,
actual,Rutas 1200,1214,#45FFA2,4210,#45FFA2,La 32A,Ate,San Martín de Porres,Empresa de Transportes Virgen de La Asunción S.A. (ETVASA),ETVASA
actual,Rutas 1200,1218,#D61A1A,4506/129p,#D61A1A,El Chosicano,Ricardo Palma,San Miguel,Empresa de Transportes y Servicios Lima Chosica S.A. (ETYSLCHSA),ETYSLCHSA
actual,Rutas 1200,1219,#FFF945,4512,#FFF945,La B,Lurigancho/Chosica,San Miguel,Vargasant S.A.C.,
actual,Rutas 1200,1220,#FF1919,4513,#FF1919,,Lurigancho/Chosica,Lima,Empresa de Transportes y Servicios Peralitos S.A.,
actual,Rutas 1200,1221,#B80422,4516,#B80422,La 20,Ate,San Miguel,Empresa de Transportes y Servicios Los Expertos y Somos Más S.A.,
actual,Rutas 1200,1222,#AD9600,4901,#AD9600,La 19 - La N,Lurigancho/Chosica,Callao,Empresa de Transportes y Servicios San Cristóbal Palcamayo S.A.,
actual,Rutas 1200,1223,#21917F,4902,#21917F,La 129B,Ate,Callao,Transportes Pesqueros S.A.,
actual,Rutas 1200,1224,#FFD500,4904,#FFD500,La 19,Ate,Callao,Empresa de Transportes Gocarive 19 S.A.,
actual,Rutas 1200,1225,#00B8FF,4905,#00B8FF,La C - La 01,Ate,Callao,Empresa de Transportes Álamo Express S.A. (ETALEXSA),ETALEXSA
actual,Rutas 1200,1226,#7D0202,4908,#7D0202,La 71B,Ate,Callao,Empresa de Transportes El Carmen de la Punta S.A. (ETCAPSA),ETCAPSA
actual,Rutas 1200,1227,#30A130,4911,#30A130,,Ate,Callao,Empresa de Transportes y Servicios Almirante Miguel Grau S.A. (ETSAMIGSA),ETSAMIGSA
actual,Rutas 1200,1228,#4FA500,4913,#4FA500,La H - La Z,Huaycán,La Perla,Empresa de Transportes y Servicios Santa Rosa de Lima S.A. (ETSRLSA),ETSRLSA
actual,Rutas 1200,1229,#FFFF00,5303,#FFFF00,La M,San Miguel,El Agustino,Empresa de Transportes Próceres S.A.,
actual,Rutas 1200,1230,#FFD600,7101,#FFD600,La 03,Chorrillos,Carabayllo,Empresa de Servicios Múltiples Fénix 2000 S.A.,
actual,Rutas 1200,1231,#0011FF,7103,#0011FF,La 35,Chorrillos,Carabayllo,"Empresa de Transportes, Servicios, Comercializadora, Importadora y Exportadora Machu Pichu S.A.",
actual,Rutas 1200,1232,#F70707,7202,#F70707,La A,San Juan de Miraflores,San Martín de Porres,Empresa de Transportes San Juan de La Cruz S.A.C. / Transportes y Servicios Lima Chorrillos S.A. (TRANSLICSA),TRANSLICSA
actual,Rutas 1200,1233,#FF640A,7204,#FF640A,La P1,San Juan de Miraflores,San Martín de Porres,Empresa de Transportes y Servicios San Pedro de Pamplona S.A.,
actual,Rutas 1200,1234,#00DB34,7504,#00DB34,La W,San Juan de Miraflores,San Miguel,Empresa de Transportes La Unidad de Villa S.A.,
actual,Rutas 1200,1235,#2C6632,8102,#2C6632,La S,Pachacámac,Carabayllo,Empresa de Transportes Salamanca Parral S.A. (ETSPSA),ETSPSA
actual,Rutas 1200,1236,#E30000,8104,#E30000,La 40,Villa El Salvador,Carabayllo,Grupo Express del Perú S.A.C. (GEP) / Empresa de Transportes Multiservicios Importadora y Exportadora San Francisco de Asís de Los Olivos S.A. (ETSAFRASA),ETSAFRASA
actual,Rutas 1200,1237,#D10F0F,8105,#D10F0F,La 5,Villa El Salvador,Carabayllo,Empresa de Transportes y Servicios El Rápido S.A. / Grupo Empresarial El Rápido S.A.,
actual,Rutas 1200,1238,#091080,8107,#091080,La C,Villa El Salvador,Carabayllo,San Felipe Express S.A.,
actual,Rutas 1200,1239,#00B8FF,8108,#00B8FF,La C,Villa El Salvador,Puente Piedra,Empresa de Servicios Múltiples El Cóndor S.A.C. / Empresa de Transportes Urbano Los Chinos S.A. (ETUCHISA),ETUCHISA
actual,Rutas 1200,1240,#39913C,8109,#39913C,La A,Pachacámac,Ancón,Empresa de Transportes y Servicios Virgen de la Puerta S.A. (VIPUSA),VIPUSA
actual,Rutas 1200,1241,#00B8FF,8110,#00B8FF,La C,Lurín,Carabayllo,Empresa de Transportes Roluesa S.A.C.,
actual,Rutas 1200,1242,#0BB8FF,8111,#0BB8FF,La C,Pachacámac,Ancón,Empresa de Servicios Múltiples Nuevo Perú S.A.,
