codigo_antiguo,codigo_nuevo,distrito_origen,distrito_destino,empresa_operadora,alias,color_hex
3701,1052,San Juan de Lurigancho,San Juan de Miraflores,Empresa de Transportes HA de Servicios Múltiples de Propietarios Unidos Huáscar S.A. (ETHASEMPUHUASA),La HA,#1510B0
3702,1053,San Juan de Lurigancho,Chorrillos,Empresa de Transportes y Servicios Múltiples Sur Lima S.A.,La H,#003CE0
3705,1054,San Juan de Lurigancho,Chorrillos,Empresa de Transporte Urbano Línea 4 S.A. (ETUL4SA),La E,#E3B03F
3707,1055,San Juan de Lurigancho,Chorrillos,Transportes Lima Urban Company S.A.,La 31,#FF0303
3805,1056,San Juan de Lurigancho,Villa El Salvador,Empresa de Transportes y Servicios Arco Iris S.A. (ETSAISA),La P,#B80000
3806,1057,San Juan de Lurigancho,Villa María del Triunfo,Empresa de Servicios de Transportes Santa Catalina S.A. (ESTSACASA),La 23C,#0C5700
3807,1058,San Juan de Lurigancho,Lurín,Transportes Huáscar S.A,La R28,#D8D821
3809,1059,San Juan de Lurigancho,Villa María del Triunfo,Empresa de Servicios de Transporte Santa Catalina S.A. (ESTSACASA),La 23B,#0C5700
3810,1060,San Juan de Lurigancho,Villa María del Triunfo,Empresa de Transportes y Servicios Ocho S.A. (ETSOSA),La 8,#DE1212
3813,1061,San Juan de Lurigancho,Villa El Salvador,Empresa de Transportes y Servicios Preferencial M1 S.A. (ETSPM1SA),La M1,#C5FF22
3814,1062,San Juan de Lurigancho,Villa El Salvador,Empresa de Transportes Los Cuatro Suyos S.A. (ETCSSA),La M1,#FFF70A
3815,1063,San Juan de Lurigancho,Pachacámac,Empresa de Transportes y Servicios Múltiples Los Magníficos S.A. (ETYSERMULMASA) / Transportes Negociaciones Santa Anita S.A.,La M,#FFB60A
4304,1064,Lurigancho/Chosica,San Juan de Lurigancho,Empresa de Transportes Santa Rosa de Jicamarca S.A. (ETSRJSA),La 49,#DB0000
4405,1065,Ate,Ate,Empresa de Transportes Nuevo Horizonte S.A. (ETNHOSA),La 91,#00126E
4502,1066,Huaycán,Lima,Empresa de Transporte y Turismo Huaycán S.A. (ETRANTURHSA),La HCT - El Huaycanero,#D5BC8B
4503,1067,Santa Anita,Lima,Empresa de Transportes y Servicios Peralitos S.A.,Ninguno,#FF0F0F
4504,1068,Huaycán,Lima,Empresa de Servicios Múltiples Nuevo Perú S.A.,La HGK - El Huaycanero,#05016B
4507,1069,Ricardo Palma,Lima,Empresa de Transportes y Servicios Nueva Era Señor de Muruhuay S.A. (ETSNESMSA),El Chosicano,#1F26FF
4510,1070,Ate,Jesús María,Empresa de Transportes Bronco S.A. (ETBRONSA),Ninguno,#9C1414
4511,1071,Ate,Lima,Multiservicios e Inversiones Virgen de Copacabana S.A.C. (MIVICOSAC),La IC,#0758B5
4607,1072,Ate,La Victoria,Empresa de Transportes Unidos San Martín de Porres S.A. (ETUSMPSA),Ninguno,#0013BA
4609,1073,Ate,San Isidro,Empresa de Transportes Nuestra Señora del Sagrado Corazón S.A. (ETNUSSACSA),La B,#151F5C
4610,1074,Ate,San Isidro,Empresa de Transportes Miraflores Monterrico S.A. (ETMIMSA),La B - La 112,#1E2C82
4611,1075,Lurigancho/Chosica,La Victoria,Empresa de Transportes y Servicios San Juan Bautista S.A. (ETSSJBSA),La 51,#00008A
4612,1076,Huaycán,La Victoria,Empresa de Transportes y Servicios Múltiples Comercialización 14 de Mayo S.A.C.,Ninguno,#00990A
4613,1077,Huaycán,La Victoria,Transportes y Servicios Múltiples Perla de Los Andes S.A.C. (TRASMPERSAC),Ninguno,#006B0B
4614,1078,Ate,La Victoria,Empresa de Transportes y Servicios Sesentitrés S.A.,La 63,#75574D
4618,1079,Ate,La Victoria,Empresa de Transportes Unidos San Martín de Porres S.A. (ETUSMPSA),Ninguno,#0013BA
4619,1080,Huaycán,La Victoria,Empresa de Transporte y Turismo Huaycán S.A. (ETRANTURHSA),La HCT - El Huaycanero,#1BBFA4
4620,1081,Huaycán,La Victoria,Empresa de Transportes Urbano Huaycán S.A.,Ninguno,#D61406
4622,1082,Ate,Miraflores,Empresa de Transporte Angamos S.A.,Ninguno,#FFEF08
4623,1083,Huaycán,La Victoria,Transportes e Inversiones Sin Fronteras S.A.C.,Ninguno,#FFA229
4703,1084,Ate,Chorrillos,Empresa de Transportes Consorcio Santo Cristo S.A.,La 91,#070A66
5401,1085,Lima,Santa Eulalia,Empresa de Transportes y Servicios Turismo Carretera Central S.A.C. (EMTRACACE),El Chosicano,#25A605
6901,1086,San Borja,Callao,Empresa de Transportes Magdalena-San Miguel S.A. (ETRAMSMSA),Ninguno,#B8B097
7501,1087,Chorrillos,Jesús María,Empresa de Transportes Unidos S.A. (ETUSA),La 52T,#90333B
7505,1088,Chorrillos,Lima,Servicios Generales y Transportes Renacimiento S.A. (SGTRENSA),Ninguno,#7CFF0A
7601,1089,San Juan de Miraflores,Lince,Agrupación de Transportistas en Camionetas S.A. (ATCRSA),La 24,#E80202
7606,1090,Chorrillos,San Isidro,Empresa de Transportes Unidos Chama S.A.,La C,#E00202
7607,1091,San Juan de Miraflores,La Victoria,Empresa de Transportes y Servicios Múltiples 160 S.A.C.,La 160,#1465A3
7610,1092,Chorrillos,La Victoria,Empresa de Transportes y Servicios Múltiples San Genaro S.A. (ETSEMUSAGESA),Ninguna,#C4100A
7612,1093,San Juan de Miraflores,San Isidro,Empresa de Transportes y Servicios Múltiples Sur Primero de Junio S.A.C. (ETPRIJUSAC),La I,#0F0F0F
7613,1094,San Juan de Miraflores,Miraflores,Empresa de Transportes Unidos Doce de Noviembre S.A. (ETUSA),La C,#0016A3
7614,1095,Chorrillos,Miraflores,Empresa de Transporte Servicios Turismo e Inversiones Norteamérica S.A.C.,La 57,#0DBD7C
8302,1096,Villa El Salvador,San Juan de Lurigancho,Empresa de Transportes Luis Banchero Rossi S.A. (LUBARSA),La B - La Banchero,#FFFF1C
8306,1097,Villa El Salvador,San Juan de Lurigancho,Empresa de Transportes Santo Cristo de Pachacamilla S.A. (ETRASCPSA),La 10E,#7C47A1
8308,1098,Lurín,San Juan de Lurigancho,Empresa de Transporte Urbano Línea 4 S.A. (ETUL4SA),La 08 - La L,#E3B03F
8403,1099,Villa María del Triunfo,Jesús Maria,Empresa de Transportes Luis Banchero Rossi S.A. (LUBARSA),La 9 - La Banchero,#F4F78F
8404,1100,Villa María del Triunfo,Huaycán,Empresa de Transporte Urbano Línea 4 S.A. (ETUL4SA),La P,#E3B03F
8513,1107,Villa El Salvador,Lima,Empresa de Transportes Montenegro S.A.C. (ETMOSAC),La C,#59D3FF
8520,1108,Villa el Salvador,Lima,Empresa de Servicios de Transporte Santa Catalina S.A. (ESTSACASA),La 23A,#0C5700
8523,1109,Villa María del Triunfo,Miraflores,Empresa de Transportes Esfuerzos Unidos S.A. (ETEUSA),La 25,#276913
8524,1110,Pachacámac,Lima,Empresa de Transportes Unidos Chama S.A.,La G,#FF0000
8525,1111,Villa María del Triunfo,Lima,Empresa de Transportes Unidos de Pasajeros S.A. (ETUPSA),La 73A,#ACCB56
8602,1112,Pachacámac,La Victoria,Red Lima Móvil S.A.,Ninguno,#21CBD1
8604,1113,Villa María del Triunfo,Miraflores,Translima S.A.,Ninguno,#009FE3
8605,1114,Villa El Salvador,San Isidro,Empresa de Transportes y Servicios Los Ángeles del Perú S.A.C. (ETRAPERSAC),La D2,#0008FF
8611,1115,Lurín,Miraflores,Empresa de Transportes Express Pachacámac S.A. (ETEPSA),La A,#0006B8
8612,1116,Pachacámac,Miraflores,Empresa de Transportes Edilberto Ramos S.A.C. (ETERSAC),La A,#FFFF00
8614,1117,Villa María del Triunfo,Miraflores,Empresa de Transportes Tablada 2000 S.A. (ETTADOSA),Ninguna,#FFCB3D
8616,1118,Villa María del Triunfo,Miraflores,Comunicación Integral Turismo e Inversiones Urano Tours S.A.,La U,#FF1414
8617,1119,Villa El Salvador,Miraflores,Agrupación de Transportistas en Camionetas S.A. (ATCRSA),La D,#E80202
8618,1120,Pachacámac,La Victoria,Real Star del Perú S.A.C.,La 190,#D6B618
8619,1121,Villa El Salvador,La Victoria,Consorcio Línea 3 S.A.C.,La A,#27C716
8621,1122,Villa El Salvador,La Victoria,Lapso S.A.,La 6,#FFFF00
8626,1123,Pachacámac,Miraflores,Empresa de Transportes Unidos Chama S.A.,La A,#DF3322
8703,1124,Villa María del Triunfo,Surquillo,Empresa de Transportes Expreso Tablada Y Asociados S.A.C.,Ninguno,#FFB12B
8704,1125,Villa María del Triunfo,Surquillo,Empresa de Transportes Purca Gabriel Cora Cora S.A.,Ninguno,#0DE7FF
8711,1126,Lurín,Surquillo,Villa Alejandro S.A.,Ninguno,#398F00
8714,1127,Lurín,Surquillo,Empresa de Transportes y Servicios Múltiples Esmirla Zevallos S.A.,Ninguno,#FF0505
8729,1128,Pachacámac,Santiago de Surco,Carrocerías Rivera S.A.C.,La G - La 65,#68BCEB
8803,1129,Pachacámac,Pachacámac,Empresa de Transportes y Servicios San Juan de Dios S.A. (ETSAJUDSA),La A - La B,#05096E
9503,1130,Carmen de la Legua,Lima,Empresa de Transportes Once de Noviembre S.A. (EMPTONSA),Ninguno,#20BA2F
9601,1131,Ventanilla,La Victoria,Empresa de Transportes y Servicios Virgen de La Puerta S.A. (VIPUSA),La D,#0ABF16
9605,1132,Callao,La Victoria,Empresa de Transporte y Servicios Múltiples Satélite S.A. (ETRASEMUSSA),El Urbanito,#004F08
CR04,1133,La Punta,Lima,Empresa de Transportes Señor del Mar S.A. (ETSMARSA),Ninguno,#8D17E8
CR07,1134,Callao,La Perla,Empresa de Transportes y Servicios La Estrella S.A.C. (ETSESAC),La A,#3189CC
CR09,1135,Callao,Lima,Empresa de Transportes Mariscal Ramón Castilla S.A.,La 105,#BDBDBD
CR10,1136,Callao,Lima,Consorcio Nueva Unión S.A.,La 120,#8C6043
CR12,1137,Carabayllo,La Victoria,Empresa de Transportes y Servicios San Antonio S.A.,Ninguno,#DF2222
CR17,1138,Carabayllo,San Miguel,Multiservicios e Inversiones Chimpum Callao S.A.,Ninguno,#F7FF0F
CR27,1139,Comas,Pueblo Libre,Consorcio Grupo Uvita S.A.C.,Ninguno,#391170
CR30,1140,Callao,Lima,Empresa de Transportes y Servicios Milagroso Inmaculado Señor Cautivo de Ayabaca S.A. (ETMISCASA),Ninguno,#A322BD
CR31,1141,Callao,Santiago de Surco,Empresa de Transportes del Fondo Colectivo de Ayuda Mutua S.A. (ETFOCAMSA),Ninguno,#BA0707
CR32,1142,Ventanilla,Lima,Empresa de Transporte y Servicios Proyecto 7 S.A.,Ninguno,#F5D50A
CR38,1143,Callao,Santiago de Surco,Gruplan S.A.,La 524,#FFE642
CR40,1144,Callao,Lima,Empresa de Transportes y Servicios Conexos Néstor Gambetta S.A.,Ninguna,#38B6FF
CR43,1145,Carabayllo,La Victoria,Empresa de Transportes y Servicios Callao S.A. (TRANSCALLAO),Ninguno,#D6CBC1
CR45,1146,La Punta,Lima,Empresa de Transportes San Benito de Palermo S.A. (ETSABEPSA),Ninguno,#EDB313
CR46,1147,La Punta,Lima,Empresa de Transportes y Servicios Generales Colonial S.A.,Ninguno,#FF00A2
CR47,1148,Callao,Lima,Multiservicios de Buses de Waylluy S.A. (Multibus Way S.A.),Ninguno,#941212
CR48,1149,Callao,Lima,Multiservicios de Buses de Waylluy S.A. (Multibus Way S.A.),Ninguno,#035220
CR52,1150,Callao,Lima,Empresa de Transportes 102 S.A.,Ninguno,#EFFF12
CR56,1151,Ventanilla,Lima,Empresa de Transportes Mi Perú Ventanilla S.A. (EPTEVESA),Ninguno,#AD3A10
CR61,1152,Ventanilla,Lima,Empresa de Servicios de Transportes Lima Ventanilla Turismo S.A.C. (LIVENTUR),Ninguno,#136919
CR62,1153,Carabayllo,Carabayllo,Empresa de Transportes San Ignacio de Loyola S.A. (ETRASILSA),Ninguno,#400707
CR69,1154,Carabayllo,Pueblo Libre,Consorcio Briza,Ninguno,#100C8F
CR78,1155,Callao,Lima,Grupo Holrex S.A. / Holding Real Express S.A,Ninguno,#FF860D
ICR02B,1156,Callao,Lima,Empresa de Transportes y Servicios Nuevo Reynoso S.A. (ETYSNURSA),Ninguno,#00EEFF
IM19,1157,Ventanilla,Lima,Cooperativa de Servicios Especiales Transportes Sol y Mar Ltda.,Ninguno,#255710
IM20,1158,Ventanilla,Lima,Servicio Interconectado de Transporte S.A.C. (SIT),Ninguno,#FFFFF1
IM21,1159,Callao,Jesús María,Translima S.A.,La 21,#0099FF
IM34B,1160,Ventanilla,Ate,Multiservicios e Inversiones Chimpum Callao S.A.,La OP,#FF872B
IM40,1161,Callao,Ate,Empresa de Transportes Víctor Raúl Haya de La Torre S.A. (ETVRHTSA),La 89,#37880B
