sequence,direction,stop_id,stop_name,stop_url,lat,lon
52,,1019544,,https://wikiroutes.info/es/stops/1019544,,
53,,1019545,,https://wikiroutes.info/es/stops/1019545,,
54,,1019546,,https://wikiroutes.info/es/stops/1019546,,
55,,1019547,,https://wikiroutes.info/es/stops/1019547,,
56,,817689,,https://wikiroutes.info/es/stops/817689,,
57,,817690,,https://wikiroutes.info/es/stops/817690,,
58,,817691,,https://wikiroutes.info/es/stops/817691,,
59,,817692,,https://wikiroutes.info/es/stops/817692,,
60,,828101,,https://wikiroutes.info/es/stops/828101,,
61,,828102,,https://wikiroutes.info/es/stops/828102,,
62,,827084,,https://wikiroutes.info/es/stops/827084,,
63,,1300706,,https://wikiroutes.info/es/stops/1300706,,
64,,761410,,https://wikiroutes.info/es/stops/761410,,
65,,827086,,https://wikiroutes.info/es/stops/827086,,
66,,1017542,,https://wikiroutes.info/es/stops/1017542,,
67,,736407,,https://wikiroutes.info/es/stops/736407,,
68,,736408,,https://wikiroutes.info/es/stops/736408,,
69,,736409,,https://wikiroutes.info/es/stops/736409,,
70,,828108,,https://wikiroutes.info/es/stops/828108,,
71,,828109,,https://wikiroutes.info/es/stops/828109,,
72,,828111,,https://wikiroutes.info/es/stops/828111,,
73,,828112,,https://wikiroutes.info/es/stops/828112,,
74,,1019555,,https://wikiroutes.info/es/stops/1019555,,
75,,828113,,https://wikiroutes.info/es/stops/828113,,
76,,828114,,https://wikiroutes.info/es/stops/828114,,
77,,828116,,https://wikiroutes.info/es/stops/828116,,
78,,827327,,https://wikiroutes.info/es/stops/827327,,
79,,867849,,https://wikiroutes.info/es/stops/867849,,
80,,867850,,https://wikiroutes.info/es/stops/867850,,
81,,867851,,https://wikiroutes.info/es/stops/867851,,
82,,935983,,https://wikiroutes.info/es/stops/935983,,
83,,935988,,https://wikiroutes.info/es/stops/935988,,
84,,1019575,,https://wikiroutes.info/es/stops/1019575,,
85,,828120,,https://wikiroutes.info/es/stops/828120,,
86,,828122,,https://wikiroutes.info/es/stops/828122,,
87,,1308944,,https://wikiroutes.info/es/stops/1308944,,
88,,828124,,https://wikiroutes.info/es/stops/828124,,
89,,1019610,,https://wikiroutes.info/es/stops/1019610,,
90,,828126,,https://wikiroutes.info/es/stops/828126,,
91,,828127,,https://wikiroutes.info/es/stops/828127,,
92,,828128,,https://wikiroutes.info/es/stops/828128,,
93,,828129,,https://wikiroutes.info/es/stops/828129,,
94,,828130,,https://wikiroutes.info/es/stops/828130,,
95,,828132,,https://wikiroutes.info/es/stops/828132,,
96,,828133,,https://wikiroutes.info/es/stops/828133,,
97,,827349,,https://wikiroutes.info/es/stops/827349,,
98,,827350,,https://wikiroutes.info/es/stops/827350,,
99,,827351,,https://wikiroutes.info/es/stops/827351,,
100,,827352,,https://wikiroutes.info/es/stops/827352,,
101,,1486023,,https://wikiroutes.info/es/stops/1486023,,
102,,1486026,,https://wikiroutes.info/es/stops/1486026,,
103,,1486027,,https://wikiroutes.info/es/stops/1486027,,
104,,2038820,,https://wikiroutes.info/es/stops/2038820,,
105,,2039853,,https://wikiroutes.info/es/stops/2039853,,
106,,1019615,,https://wikiroutes.info/es/stops/1019615,,
107,,1019616,,https://wikiroutes.info/es/stops/1019616,,
108,,1019617,,https://wikiroutes.info/es/stops/1019617,,
109,,1019618,,https://wikiroutes.info/es/stops/1019618,,
110,,1019619,,https://wikiroutes.info/es/stops/1019619,,
111,,1019620,,https://wikiroutes.info/es/stops/1019620,,
112,,1019621,,https://wikiroutes.info/es/stops/1019621,,
113,,814967,,https://wikiroutes.info/es/stops/814967,,
114,,814968,,https://wikiroutes.info/es/stops/814968,,
115,,814969,,https://wikiroutes.info/es/stops/814969,,
116,,814970,,https://wikiroutes.info/es/stops/814970,,
117,,814971,,https://wikiroutes.info/es/stops/814971,,
118,,814972,,https://wikiroutes.info/es/stops/814972,,
119,,814973,,https://wikiroutes.info/es/stops/814973,,
120,,814974,,https://wikiroutes.info/es/stops/814974,,
121,,828134,,https://wikiroutes.info/es/stops/828134,,
122,,828135,,https://wikiroutes.info/es/stops/828135,,
