ref_raw,route_code,old_code,match_source,match_method,alias,origen,destino,empresa,color,id,title,ref,name,route_code_base,family_ok
,,,,,,,,,#555555,3778984,,,,,True
,,,,,,,,,#555555,4193367,,,,,True
,,,,,,,,,#555555,4193500,,,,,True
X-ECR02-I,,CR02,rutas_anteriores.csv,old_only,,Callao,Santiago de Surco,Empresa de Transportes Miraflores Monterrico S.A. (ETMIMSA),#1932B0,4224369,X-ECR02-I,X-ECR02-I,X-ECR02-I,CR02,True
X-ECR03-I,,,,,,,,,#555555,4224379,X-ECR03-I,X-ECR03-I,X-ECR03-I,CR03,True
X-ECR05-I,,CR05,rutas_anteriores.csv,old_only,,Callao,Lima,Empresa de Transportes Multiservicios Ovni S.A. (ETMOSA),#FFE605,4224382,X-ECR05-I,X-ECR05-I,X-ECR05-I,CR05,True
X-ECR09-I,1135,CR09,rutas.csv,old_code,,Callao,Lima,,#555555,4224390,X-ECR09-I,X-ECR09-I,X-ECR09-I,CR09,True
X-ECR10-I,1136,CR10,rutas.csv,old_code,,Callao,Lima,,#555555,4224398,X-ECR10-I,X-ECR10-I,X-ECR10-I,CR10,True
X-ECR13-I,,CR13,rutas_anteriores.csv,old_only,,San Martín de Porres,San Miguel,Empresa Modelo de Transporte Latinoamérica S.A.,#0D06C4,4224413,X-ECR13-I,X-ECR13-I,X-ECR13-I,CR13,True
X-ECR14-I,,CR14,rutas_anteriores.csv,old_only,,Callao,Santiago de Surco,Transportes Hogar Tours S.A.C.,#D43434,4224422,X-ECR14-I,X-ECR14-I,X-ECR14-I,CR14,True
X-ECR15-I,,CR15,rutas_anteriores.csv,old_only,,Carabayllo,San Miguel,Empresa de Transportes y Servicios San Antonio S.A.,#690000,4224455,X-ECR15-I,X-ECR15-I,X-ECR15-I,CR15,True
X-ECR17-I,1138,CR17,rutas.csv,old_code,,Carabayllo,San Miguel,,#555555,4226842,X-ECR17-I,X-ECR17-I,X-ECR17-I,CR17,True
X-ECR18-I,,,,,,,,,#555555,4226864,X-ECR18-I,X-ECR18-I,X-ECR18-I,CR18,True
X-ECR21-I,,CR21,rutas_anteriores.csv,old_only,,Callao,Lima,Empresa de Transportes Ijecorpjyl S.A.,#DFFF12,4227134,X-ECR21-I,X-ECR21-I,X-ECR21-I,CR21,True
X-ECR22-I,,CR22,rutas_anteriores.csv,old_only,,Callao,Lima,Empresa de Transportes Toro S.R.L.,#E81C1C,4227168,X-ECR22-I,X-ECR22-I,X-ECR22-I,CR22,True
X-ECR23-I,,CR23,rutas_anteriores.csv,old_only,,Callao,Lima,Empresa de Transportes y Servicios Múltiples San Martín de Porres S.A.C. (ETSAMPSAC),#FFCC26,4227218,X-ECR23-I,X-ECR23-I,X-ECR23-I,CR23,True
X-ECR24-I,,CR24,rutas_anteriores.csv,old_only,,Ventanilla,Ate,Empresa de Transportes Servicio y Comercialización Expreso Santa Anita S.A.,#000E8C,4227246,X-ECR24-I,X-ECR24-I,X-ECR24-I,CR24,True
X-ECR26-I,,,,,,,,,#555555,4227339,X-ECR26-I,X-ECR26-I,X-ECR26-I,CR26,True
X-ECR28-I,,CR28,rutas_anteriores.csv,old_only,,Callao,Callao,Empresa de Transportes Rosario de Santa María S.A.C. (ETROSMASAC),#050087,4227378,X-ECR28-I,X-ECR28-I,X-ECR28-I,CR28,True
X-ECR31-I,1141,CR31,rutas.csv,old_code,,Callao,Santiago de Surco,,#555555,4227437,X-ECR31-I,X-ECR31-I,X-ECR31-I,CR31,True
X-ECR32-I,1142,CR32,rutas.csv,old_code,,Ventanilla,Lima,,#555555,4227460,X-ECR32-I,X-ECR32-I,X-ECR32-I,CR32,True
X-ECR33A-I,,,,,,,,,#555555,4227527,X-ECR33A-I,X-ECR33A-I,X-ECR33A-I,CR33A,True
X-ECR34-I,,CR34,rutas_anteriores.csv,old_only,,Ventanilla,Jesús María,Empresa de Servicios y Transportes Inversiones Comas Express S.A. (ESTICOSA),#0E3608,4227549,X-ECR34-I,X-ECR34-I,X-ECR34-I,CR34,True
X-ECR35-I,,CR35,rutas_anteriores.csv,old_only,,Ventanilla,Ventanilla,Empresa de Servicio de Transporte Lima Ventanilla Turismo S.A.C. (LIVENTUR),#136919,4227584,X-ECR35-I,X-ECR35-I,X-ECR35-I,CR35,True
,,,,,,,,,#555555,4252750,,,,,True
,,,,,,,,,#555555,4455259,,,,,True
,,,,,,,,,#555555,4455850,,,,,True
X-ICR01-I,,IM01,rutas_anteriores.csv,old_only,,La Punta,Carabayllo,Empresa de Transportes Elpa Tours S.A.C.,#81FF6E,4466970,X-ICR01-I,X-ICR01-I,X-ICR01-I,ICR01,True
X-ICR02-I,,,,,,,,,#555555,4467006,X-ICR02-I,X-ICR02-I,X-ICR02-I,ICR02,True
X-ICR02B-I,1156,ICR02B,rutas.csv,old_code,,Callao,Lima,,#555555,4467064,X-ICR02B-I,X-ICR02B-I,X-ICR02B-I,ICR02B,True
X-ICR05-I,,ICR05,rutas_anteriores.csv,old_only,,Callao,Carabayllo,Empresa de Transportes y Servicios Nueva América S.A. (TRANSNASA),#6B6B6B,4467102,X-ICR05-I,X-ICR05-I,X-ICR05-I,ICR05,True
X-ICR06-I,,IPC06,rutas_anteriores.csv,old_only,,Callao,Callao,Consorcio Grupo Uvita S.A.C.,#391170,4467149,X-ICR06-I,X-ICR06-I,X-ICR06-I,ICR06,True
X-ICR10-I,,IM10,rutas_anteriores.csv,old_only,,San Martín de Porres,San Juan de Lurigancho,Empresa de Transportes y Servicios El Pegaso S.A. (ETIPESA),#5C774E,4467172,X-ICR10-I,X-ICR10-I,X-ICR10-I,ICR10,True
X-ICR13-I,,IM13,rutas_anteriores.csv,old_only,,San Juan de Miraflores,Callao,Empresa de Transporte Rubén Marca S.A. (RUMASA),#FCF8C2,4467284,X-ICR13-I,X-ICR13-I,X-ICR13-I,ICR13,True
X-ICR14-I,,IM14,rutas_anteriores.csv,old_only,,Ventanilla,La Victoria,Empresa de Transportes y Servicios Virgen de La Puerta S.A. (VIPUSA),#0ABF16,4467454,X-ICR14-I,X-ICR14-I,X-ICR14-I,ICR14,True
,,,,,,,,,#555555,4467480,,,,,True
X-ICR15-I,,IM15,rutas_anteriores.csv,old_only,,Callao,Ate,Empresa de Transportes Servicios y Turismo Eureks S.A.C.,#FFFFF1,4467486,X-ICR15-I,X-ICR15-I,X-ICR15-I,ICR15,True
CR13_I,,CR13,rutas_anteriores.csv,old_only,,San Martín de Porres,San Miguel,Empresa Modelo de Transporte Latinoamérica S.A.,#0D06C4,4511802,CR13_I,,CR13_I,CR13,True
CR14_I,,CR14,rutas_anteriores.csv,old_only,,Callao,Santiago de Surco,Transportes Hogar Tours S.A.C.,#D43434,4512067,CR14_I,,CR14_I,CR14,True
CR23_I,,CR23,rutas_anteriores.csv,old_only,,Callao,Lima,Empresa de Transportes y Servicios Múltiples San Martín de Porres S.A.C. (ETSAMPSAC),#FFCC26,4512296,CR23_I,,CR23_I,CR23,True
IM49_I,,IM49,rutas_anteriores.csv,old_only,,Callao,Cieneguilla,Empresa de Transporte Urbano El Molinero Express S.A. (ETRUMESA),#0D7FBF,4521427,IM49_I,,IM49_I,ICR49,True
IM50_I,,IM50,rutas_anteriores.csv,old_only,,Callao,Independencia,Empresa de Transportes y Servicios 117 S.A. (ETSEDISA),#43B587,4521493,IM50_I,,IM50_I,ICR50,True
IM50_I,,IM50,rutas_anteriores.csv,old_only,,Callao,Independencia,Empresa de Transportes y Servicios 117 S.A. (ETSEDISA),#43B587,4521619,IM50_I,,IM50_I,ICR50,True
X-NCR01_I,,,,,,,,,#555555,4628682,X-NCR01_I,X-NCR01_I,X-NCR01_I,CR01,True
X-NCR02_I,,CR02,rutas_anteriores.csv,old_only,,Callao,Santiago de Surco,Empresa de Transportes Miraflores Monterrico S.A. (ETMIMSA),#1932B0,4628724,X-NCR02_I,X-NCR02_I,X-NCR02_I,CR02,True
X-NCR04A_I,,,,,,,,,#555555,4628840,X-NCR04A_I,X-NCR04A_I,X-NCR04A_I,CR04A,True
X-NCR03_I,,,,,,,,,#555555,4628891,X-NCR03_I,X-NCR03_I,X-NCR03_I,CR03,True
X-NCR04B_I,,,,,,,,,#555555,4629072,X-NCR04B_I,X-NCR04B_I,X-NCR04B_I,CR04B,True
X-NCR04C_I,,,,,,,,,#555555,4629099,X-NCR04C_I,X-NCR04C_I,X-NCR04C_I,CR04C,True
X-NCR06_I,,,,,,,,,#555555,4629223,X-NCR06_I,X-NCR06_I,X-NCR06_I,CR06,True
X-NCR04_I,1133,CR04,rutas.csv,old_code,,La Punta,Lima,,#555555,4629224,X-NCR04_I,X-NCR04_I,X-NCR04_I,CR04,True
X-NCR07_I,1134,CR07,rutas.csv,old_code,,Callao,La Perla,,#555555,4629367,X-NCR07_I,X-NCR07_I,X-NCR07_I,CR07,True
X-NCR08_I,,,,,,,,,#555555,4629368,X-NCR08_I,X-NCR08_I,X-NCR08_I,CR08,True
X-NCR09_I,1135,CR09,rutas.csv,old_code,,Callao,Lima,,#555555,4629534,X-NCR09_I,X-NCR09_I,X-NCR09_I,CR09,True
X-NCR10_I,1136,CR10,rutas.csv,old_code,,Callao,Lima,,#555555,4631128,X-NCR10_I,X-NCR10_I,X-NCR10_I,CR10,True
X-NCR12_I,1137,CR12,rutas.csv,old_code,,Carabayllo,La Victoria,,#555555,4631292,X-NCR12_I,X-NCR12_I,X-NCR12_I,CR12,True
X-NCR13_I,,CR13,rutas_anteriores.csv,old_only,,San Martín de Porres,San Miguel,Empresa Modelo de Transporte Latinoamérica S.A.,#0D06C4,4631775,X-NCR13_I,X-NCR13_I,X-NCR13_I,CR13,True
X-NCR21_I,,CR21,rutas_anteriores.csv,old_only,,Callao,Lima,Empresa de Transportes Ijecorpjyl S.A.,#DFFF12,4632207,X-NCR21_I,X-NCR21_I,X-NCR21_I,CR21,True
X-NCR23C_I,,,,,,,,,#555555,4632310,X-NCR23C_I,X-NCR23C_I,X-NCR23C_I,CR23C,True
X-NCR24_I,,CR24,rutas_anteriores.csv,old_only,,Ventanilla,Ate,Empresa de Transportes Servicio y Comercialización Expreso Santa Anita S.A.,#000E8C,4632850,X-NCR24_I,X-NCR24_I,X-NCR24_I,CR24,True
X-NCR26_I,,,,,,,,,#555555,4633039,X-NCR26_I,X-NCR26_I,X-NCR26_I,CR26,True
X-NCR31_I,1141,CR31,rutas.csv,old_code,,Callao,Santiago de Surco,,#555555,4633304,X-NCR31_I,X-NCR31_I,X-NCR31_I,CR31,True
X-NCR23E_I,,CR23,rutas_anteriores.csv,old_only,,Callao,Lima,Empresa de Transportes y Servicios Múltiples San Martín de Porres S.A.C. (ETSAMPSAC),#FFCC26,4634225,X-NCR23E_I,X-NCR23E_I,X-NCR23E_I,CR23,True
X-0012-I,,,,,,,,,#555555,4752919,X-0012-I,X-0012-I,X-0012-I,0012,True
X-SCR01-I,,,,,,,,,#555555,4753094,X-SCR01-I,X-SCR01-I,X-SCR01-I,CR01,True
X-SCR05-I,,CR05,rutas_anteriores.csv,old_only,,Callao,Lima,Empresa de Transportes Multiservicios Ovni S.A. (ETMOSA),#FFE605,4753569,X-SCR05-I,X-SCR05-I,X-SCR05-I,CR05,True
X-SCR06-I,,,,,,,,,#555555,4753582,X-SCR06-I,X-SCR06-I,X-SCR06-I,CR06,True
X-SCR07-I,1134,CR07,rutas.csv,old_code,,Callao,La Perla,,#555555,4753609,X-SCR07-I,X-SCR07-I,X-SCR07-I,CR07,True
X-SCR08-I,,,,,,,,,#555555,4753613,X-SCR08-I,X-SCR08-I,X-SCR08-I,CR08,True
X-SCR09A-I,,,,,,,,,#555555,4755318,X-SCR09A-I,X-SCR09A-I,X-SCR09A-I,CR09A,True
X-SCR10-I,1136,CR10,rutas.csv,old_code,,Callao,Lima,,#555555,4755348,X-SCR10-I,X-SCR10-I,X-SCR10-I,CR10,True
X-SCR11A-I,,,,,,,,,#555555,4755399,X-SCR11A-I,X-SCR11A-I,X-SCR11A-I,CR11A,True
X-SCR11B-I,,,,,,,,,#555555,4755484,X-SCR11B-I,X-SCR11B-I,X-SCR11B-I,CR11B,True
X-SCR11-I,,,,,,,,,#555555,4755533,X-SCR11-I,X-SCR11-I,X-SCR11-I,CR11,True
X-SCR12-I,1137,CR12,rutas.csv,old_code,,Carabayllo,La Victoria,,#555555,4755580,X-SCR12-I,X-SCR12-I,X-SCR12-I,CR12,True
X-SCR14B-I,,,,,,,,,#555555,4756164,X-SCR14B-I,X-SCR14B-I,X-SCR14B-I,CR14B,True
X-SCR14-I,,CR14,rutas_anteriores.csv,old_only,,Callao,Santiago de Surco,Transportes Hogar Tours S.A.C.,#D43434,4756272,X-SCR14-I,X-SCR14-I,X-SCR14-I,CR14,True
X-SCR15-I,,CR15,rutas_anteriores.csv,old_only,,Carabayllo,San Miguel,Empresa de Transportes y Servicios San Antonio S.A.,#690000,4756276,X-SCR15-I,X-SCR15-I,X-SCR15-I,CR15,True
X-SCR17-I,1138,CR17,rutas.csv,old_code,,Carabayllo,San Miguel,,#555555,4756288,X-SCR17-I,X-SCR17-I,X-SCR17-I,CR17,True
X-SCR39A-I,,,,,,,,,#555555,4767031,X-SCR39A-I,X-SCR39A-I,X-SCR39A-I,CR39A,True
X-SCR39-I,,CR39,rutas_anteriores.csv,old_only,,Callao,Santiago de Surco,Consorcio Angamos,#FFF019,4768961,X-SCR39-I,X-SCR39-I,X-SCR39-I,CR39,True
X-SCR40-I,1144,CR40,rutas.csv,old_code,,Callao,Lima,,#555555,4769404,X-SCR40-I,X-SCR40-I,X-SCR40-I,CR40,True
X-SCR41-I,,CR41,rutas_anteriores.csv,old_only,,Mi Perú,Lima,Empresa de Servicio de Transporte Lima Ventanilla Turismo S.A.C. (LIVENTUR),#136919,4769801,X-SCR41-I,X-SCR41-I,X-SCR41-I,CR41,True
X-SCR41A-I,,,,,,,,,#555555,4769819,X-SCR41A-I,X-SCR41A-I,X-SCR41A-I,CR41A,True
X-SM17-I,,,,,,,,,#555555,4770157,X-SM17-I,X-SM17-I,X-SM17-I,SM17,False
X-SM18-I,,,,,,,,,#555555,4771213,X-SM18-I,X-SM18-I,X-SM18-I,SM18,False
X-SM19A-I,,,,,,,,,#555555,4771633,X-SM19A-I,X-SM19A-I,X-SM19A-I,SM19A,False
X-SM19B-I,,,,,,,,,#555555,4771753,X-SM19B-I,X-SM19B-I,X-SM19B-I,SM19B,False
X-SM19D-I,,,,,,,,,#555555,4772575,X-SM19D-I,X-SM19D-I,X-SM19D-I,SM19D,False
X-SO02-I,,,,,,,,,#555555,4772671,X-SO02-I,X-SO02-I,X-SO02-I,SO02,False
X-SM21-I,,,,,,,,,#555555,4773104,X-SM21-I,X-SM21-I,X-SM21-I,SM21,False
X-SM25-I,,,,,,,,,#555555,4773792,X-SM25-I,X-SM25-I,X-SM25-I,SM25,False
X-SM31-I,,,,,,,,,#555555,4774170,X-SM31-I,X-SM31-I,X-SM31-I,SM31,False
X-SO91-I,,,,,,,,,#555555,4775280,X-SO91-I,X-SO91-I,X-SO91-I,SO91,False
X-SO58B-I,,,,,,,,,#555555,4775380,X-SO58B-I,X-SO58B-I,X-SO58B-I,SO58B,False
X-SO51-I,,,,,,,,,#555555,4775426,X-SO51-I,X-SO51-I,X-SO51-I,SO51,False
X-SM46A-I,,,,,,,,,#555555,4775466,X-SM46A-I,X-SM46A-I,X-SM46A-I,SM46A,False
X-SM37-I,,,,,,,,,#555555,4775558,X-SM37-I,X-SM37-I,X-SM37-I,SM37,False
X-SO25-I,,,,,,,,,#555555,4775629,X-SO25-I,X-SO25-I,X-SO25-I,SO25,False
X-SCR42-I,,CR42,rutas_anteriores.csv,old_only,,Independencia,Bellavista,Empresa de Transportes Rápido Correcaminos S.A. (ETRACCSA),#AAFF54,4775660,X-SCR42-I,X-SCR42-I,X-SCR42-I,CR42,True
X-SO64C-I,,,,,,,,,#555555,4775684,X-SO64C-I,X-SO64C-I,X-SO64C-I,SO64C,False
X-SO64B-I,,,,,,,,,#555555,4775697,X-SO64B-I,X-SO64B-I,X-SO64B-I,SO64B,False
X-SM46B-I,,,,,,,,,#555555,4775722,X-SM46B-I,X-SM46B-I,X-SM46B-I,SM46B,False
X-SM46-I,,,,,,,,,#555555,4775756,X-SM46-I,X-SM46-I,X-SM46-I,SM46,False
X-SCR26-I,,,,,,,,,#555555,4779932,X-SCR26-I,X-SCR26-I,X-SCR26-I,CR26,True
,,,,,,,,,#555555,4782800,,,,,True
X-SCR09-I,1135,CR09,rutas.csv,old_code,,Callao,Lima,,#555555,4782801,X-SCR09-I,X-SCR09-I,X-SCR09-I,CR09,True
X-SCR05B-I,,,,,,,,,#555555,4782884,X-SCR05B-I,X-SCR05B-I,X-SCR05B-I,CR05B,True
X-SCR04-I,1133,CR04,rutas.csv,old_code,,La Punta,Lima,,#555555,4783001,X-SCR04-I,X-SCR04-I,X-SCR04-I,CR04,True
X-SCR31-I,1141,CR31,rutas.csv,old_code,,Callao,Santiago de Surco,,#555555,4783074,X-SCR31-I,X-SCR31-I,X-SCR31-I,CR31,True
X-SCR04A-I,,,,,,,,,#555555,4783120,X-SCR04A-I,X-SCR04A-I,X-SCR04A-I,CR04A,True
X-SO55C-I,,,,,,,,,#555555,4783207,X-SO55C-I,X-SO55C-I,X-SO55C-I,SO55C,False
X-SCR33-I,,,,,,,,,#555555,4783229,X-SCR33-I,X-SCR33-I,X-SCR33-I,CR33,True
X-SO10-I,,,,,,,,,#555555,4783262,X-SO10-I,X-SO10-I,X-SO10-I,SO10,False
X-SCR01A-I,,,,,,,,,#555555,4783278,X-SCR01A-I,X-SCR01A-I,X-SCR01A-I,CR01A,True
