seccion,grupo,ruta,ruta_color,alias,origen,destino,empresa,estado_de_la_ruta
anterior,Rutas 3400,3409 / TVE23,#FFBB1C,La C,San Juan de Lurigancho,La Molina,Empresa de Transportes y Turismo Cinco Estrellas S.A. (ETRACESA),Inactiva
anterior,Rutas 3400,3410 ​,#FFB012,Ninguno,San Juan de Lurigancho,La Molina,Transportes Negociaciones Santa Anita S.A.C.,Inactiva
anterior,Rutas 3400,3411 / TVE22 ​,#E6C240,La C - La 24C,San Juan de Lurigancho,Huaycán,Empresa de Transportes Urbano Línea 4 S.A. (ETUL4SA),Inactiva
anterior,Rutas 3500,3501,#FFFF00,La 7,San Juan de Lurigancho,Lima,Inversiones y Servicios Múltiples San Ildefonso S.A.C.,Inactiva
anterior,Rutas 3500,3502,#00754E,La E,El Agustino,San Miguel,Empresa de Transporte y Servicios Vargasant S.A.C. / Empresa de Transporte y Servicios Niño Emanuel S.A.C.,Activa
anterior,Rutas 3500,3503 / TVE32 ​,#FFFF00,Ninguno,San Juan de Lurigancho,San Miguel,Empresa de Transportes Próceres S.A.,Inactiva
anterior,Rutas 3500,3504,#FF3F0F,La 104B,San Juan de Lurigancho,San Miguel,Transportes y Servicios 104 S.A.C.,Inactiva
anterior,Rutas 3500,3505,#F2E202,La 80,San Juan de Lurigancho,San Miguel,Empresa de Transportes El Carmen S.A. (ETECSA),Activa
anterior,Rutas 3500,3506,#FF1919,Ninguno,San Juan de Lurigancho,Lima,Empresa de Transportes y Servicios Peralitos S.A.,Inactiva
anterior,Rutas 3500,3507,#FF9900,La C1,San Juan de Lurigancho,San Miguel,Empresa de Transportes y Servicios La Huayrona S.A.,Activa
anterior,Rutas 3500,3508,#888888,La D,San Juan de Lurigancho,San Miguel,Empresa de Transportes y Servicios Nueva América S.A. (TRANSNASA),Inactiva
anterior,Rutas 3500,3509,#FF3F0F,La 104,San Juan de Lurigancho,San Miguel,Transportes y Servicios 104 S.A.C.,Activa
anterior,Rutas 3500,3510,#FF2929,La 87,San Juan de Lurigancho,Pueblo Libre,Cooperativa de Transportes San Miguel-Rímac Ltda.,Inactiva
anterior,Rutas 3500,3511,#90333B,La 52C,San Juan de Lurigancho,Magdalena del Mar,Empresa de Transportes Unidos S.A. (ETUSA),Activa
anterior,Rutas 3500,3512,#714400,La 70,San Juan de Lurigancho,Lima,Empresa de Transportes y Servicios San Juan Bosco S.A. (ETSSJBSA),Inactiva
anterior,Rutas 3500,3513,#F0F3AF,La 2H,San Juan de Lurigancho,Lima,Empresa de Transportes y Servicios Huancayo City S.A. (ETHUCSA),Inactiva
anterior,Rutas 3500,3514,#FF0F0F,La 75B,San Juan de Lurigancho,San Miguel,Empresa de Transportes Las Águilas 75 S.A. (ETLA75SA),Inactiva
anterior,Rutas 3500,3515,#FF1212,La 9A,San Juan de Lurigancho,Lima,Transportes Ingaruca S.A.C. (TRAINSAC) / Empresa de Transportes y Servicios 45 S.A.,Inactiva (activa informalmente)
anterior,Rutas 3500,3516,#FFFF00,La 7,San Juan de Lurigancho,San Miguel,Inversiones y Servicios Múltiples San Ildefonso S.A.C.,Activa
anterior,Rutas 3500,3517,#E8CC15,La 48,San Juan de Lurigancho,Pueblo Libre,Empresa de Transportes Chabaquito S.A.C.,Activa
anterior,Rutas 3600,3601 ​,#318528,La SB,San Juan de Lurigancho,Miraflores,Empresa de Transportes Especial Solidaridad S.A. (EMTESSA),Inactiva (Activa informalmente)
anterior,Rutas 3600,3602,#FFFF00,La C,San Juan de Lurigancho,La Victoria,"Empresa de Transportes, Inversiones y Servicios Nueva Sociedad S.A. (ETINSSA)",Inactiva
anterior,Rutas 3600,3603,#17A108,Ninguno,San Juan de Lurigancho,Lince,Transport Sabino S.A.C. (TRANSSABISAC),Activa
anterior,Rutas 3600,3604 / TVE30 ​,#FFB012,La 66,San Juan de Lurigancho,Miraflores,Empresa de Servicio de Transportes 25 de Setiembre S.A.C.,Activa
anterior,Rutas 3600,3605,#0561FF,La A1 - La C,San Juan de Lurigancho,La Victoria,Empresa de Transportes Rápido Prialé Prialé S.A. (ETRAPSA),Inactiva (activa informalmente)
anterior,Rutas 3600,3606,#FFCC00,Ninguno,San Juan de Lurigancho,La Victoria,Empresa de Transportes Floreciente S.A.C. (ETFLOSAC),Inactiva
anterior,Rutas 3600,3607,#DB1212,Ninguno,San Juan de Lurigancho,Lince,Empresa de Transportes 12 de Enero S.A. (ETDESA),Activa
anterior,Rutas 3600,3608,#595959,Ninguno,San Juan de Lurigancho,La Victoria,Empresa de Transportes Alas Peruanas S.R.L.,Inactiva
anterior,Rutas 3600,3609,#20C5F7,La HP,San Juan de Lurigancho,San Luis,Empresa de Transportes Manos de Dios S.A. (ETMADISA),Inactiva (activa informalmente)
anterior,Rutas 3600,3610,#2B0404,La A1,San Juan de Lurigancho,La Victoria,Transportes Vara S.A.,Activa
anterior,Rutas 3600,3611 / TVE60,#258009,Ninguno,San Juan de Lurigancho,La Victoria,Empresa de Transportes Caminos del Inca S.A. (ETCISA),Activa
anterior,Rutas 3600,3612,#E8CC15,La 48,San Juan de Lurigancho,San Isidro,Empresa de Transportes Chabaquito S.A.C.,Inactiva
anterior,Rutas 3600,3613,#FFCC00,La R-I,San Juan de Lurigancho,Lince,Empresa de Transportes El Lobito S.A.C.,Activa
anterior,Rutas 3600,3614 / TVE68,#90333B,La 52J,San Juan de Lurigancho,San Isidro,Empresa de Transportes Unidos S.A. (ETUSA),Activa
anterior,Rutas 3700,3701,#1510B0,La HA,San Juan de Lurigancho,San Juan de Miraflores,Empresa de Transportes HA de Servicios Múltiples de Propietarios Unidos Huáscar S.A. (ETHASEMPUHUASA),Activa
anterior,Rutas 3700,3702,#003CE0,La H,San Juan de Lurigancho,Chorrillos,Empresa de Transportes y Servicios Múltiples Sur Lima S.A.,Activa
anterior,Rutas 3700,3703,#F4F78F,La 9 - La Banchero,San Juan de Lurigancho,Santiago de Surco,Empresa de Transportes Luis Banchero Rossi S.A. (LUBARSA),Inactiva
anterior,Rutas 3700,3704,#E3B03F,La E,San Juan de Lurigancho,Chorrillos,Empresa de Transporte Urbano Línea 4 S.A. (ETUL4SA) / Transportes y Servicios Wiesse S.A. (TRANSWISA),Inactiva
anterior,Rutas 3700,3705,#E3B03F,La E,San Juan de Lurigancho,Chorrillos,Empresa de Transporte Urbano Línea 4 S.A. (ETUL4SA),Activa
anterior,Rutas 3700,3706,#FFCC00,Ninguno,San Juan de Lurigancho,Barranco,Empresa de Transportes El Lobito S.A.C.,Inactiva
anterior,Rutas 3700,3707,#FF0303,La 31,San Juan de Lurigancho,Chorrillos,Transportes Lima Urban Company S.A.,Activa
anterior,Rutas 3800,3801,#D91212,La A,San Juan de Lurigancho,Villa El Salvador,Transportes Huáscar S.A.,Inactiva
anterior,Rutas 3800,3802,#FF9900,Ninguno,San Juan de Lurigancho,Pachacámac,Transportes Negociaciones Santa Anita S.A.C.,Activa
anterior,Rutas 3800,3803 / TVE38,#FFB012,La C,San Juan de Lurigancho,Pachacámac,Transportes Negociaciones Santa Anita S.A.C.,Activa
anterior,Rutas 3800,3804 / TVE23,#FFBB1C,La C,San Juan de Lurigancho,Pachacámac,Empresa de Transportes y Turismo Cinco Estrellas S.A. (ETRACESA),Activa
anterior,Rutas 3800,3805,#B80000,La P,San Juan de Lurigancho,Villa El Salvador,Empresa de Transportes y Servicios Arco Iris S.A. (ETSAISA),Activa
anterior,Rutas 3800,3806,#0C5700,La 23C,San Juan de Lurigancho,Villa María del Triunfo,Empresa de Servicios de Transportes Santa Catalina S.A. (ESTSACASA),Activa
anterior,Rutas 3800,3807 / TVE21,#D8D821,La R28,San Juan de Lurigancho,Lurín,Transportes Huáscar S.A.,Activa
anterior,Rutas 3800,3808 / TVE24 ​,#0C5700,La 23A,San Juan de Lurigancho,Villa El Salvador,Empresa de Servicios de Transporte Santa Catalina S.A. (ESTSACASA),Inactiva
anterior,Rutas 3800,3809,#0C5700,La 23B,San Juan de Lurigancho,Villa María del Triunfo,Empresa de Servicios de Transporte Santa Catalina S.A. (ESTSACASA),Activa ​
anterior,Rutas 3800,3810,#DE1212,La 8,San Juan de Lurigancho,Villa María del Triunfo,Empresa de Transportes y Servicios Ocho S.A. (ETSOSA),Activa
anterior,Rutas 3800,3811,#13BF2A,Ninguno,San Juan de Lurigancho,Villa El Salvador,Empresa de Transportes Montenegro S.A. (ETMOSAC),Inactiva
anterior,Rutas 3800,3812,#0561FF,La HV - La A1,San Juan de Lurigancho,Villa El Salvador,Empresa de Transportes de Servicio Rápido Ramiro Prialé Prialé S.A. (ETRAPSA),Inactiva (activa informalmente)
anterior,Rutas 3800,3813,#C5FF22,La M1,San Juan de Lurigancho,Villa El Salvador,Empresa de Transportes y Servicios Preferencial M1 S.A. (ETSPM1SA),Activa
anterior,Rutas 3800,3814 / TVE37,#FFF70A,La M1,San Juan de Lurigancho,Villa El Salvador,Empresa de Transportes Los Cuatro Suyos S.A. (ETCSSA),Activa
anterior,Rutas 3800,3815,#FFB60A,La M,San Juan de Lurigancho,Pachacámac,Empresa de Transportes y Servicios Múltiples Los Magníficos S.A. (ETYSERMULMASA) / Transportes Negociaciones Santa Anita S.A.,Inactiva (operativa en un futuro)
anterior,Rutas 3800,3816,#318528,La S1,San Juan de Lurigancho,Villa María del Triunfo,Empresa de Transportes Especial Solidaridad S.A. (EMTESSA),Activa
anterior,Rutas 3800,3817,#F4F78F,La 9 - La Banchero,San Juan de Lurigancho,Villa María del Triunfo,Empresa de Transportes Luis Banchero Rossi S.A. (LUBARSA),Inactiva
anterior,Rutas 3900,3901 / TVE68,#90333B,La 52C,San Juan de Lurigancho,La Perla,Empresa de Transportes Unidos S.A. (ETUSA),Inactiva
anterior,Rutas 3900,3902,#0600C9,La S2C,San Juan de Lurigancho,Ventanilla,Inversiones y Servicios Múltiples La Nueva Estrella S.A.C. / Corporación Las Estrellas S.A.C. ​,Inactiva
anterior,Rutas 3900,3903,#FF2929,La 87,San Juan de Lurigancho,Callao,Cooperativa de Transportes San Miguel-Rímac Ltda.,Inactiva
anterior,Rutas 3900,3904,#E8CC15,La 48,San Juan de Lurigancho,Callao,Empresa de Transporte Caña Brava S.A.C.,Inactiva
anterior,Rutas 3900,3905,#714400,La 70,San Juan de Lurigancho,La Perla,Empresa de Transportes y Servicios San Juan Bosco S.A.,Inactiva
anterior,Rutas 3900,3906,#0011FF,La 94,San Juan de Lurigancho,La Perla,Empresa de Transportes Colonial S.A. (ETCOLSA),Activa
anterior,Rutas 3900,3907,#FF1303,La ZA,San Juan de Lurigancho,Callao,Empresa de Transporte Nuevo San Juan S.A.,Activa
anterior,Rutas 4100,4101,#005EFF,Ninguno,Ate,Puente Piedra,Empresa de Transportes Halley S.A. (ETHALLSA),Inactiva
anterior,Rutas 4100,4102,#0E07D9,Ninguno,Santa Anita,Carabayllo,San Felipe Express S.A.,Inactiva (activa informalmente)
anterior,Rutas 4100,4103,#1E7376,La O - La Daewoo,Ate,Puente Piedra,Consorcio Vía S.A.C.,Inactiva
anterior,Rutas 4100,4104,#0C74C4,La JC,Ate,Carabayllo,J.C. Bus S.A.C.,Inactiva
anterior,Rutas 4100,4105,#2E39C9,Ninguno,La Molina,Carabayllo,Empresa de Transporte Castro Fuentes S.A. (KEVJIDSA),Inactiva
anterior,Rutas 4200,4201,#FFE600,Ninguno,La Molina,San Martín de Porres,Empresa de Transportes y Servicios Jorge Panduro S.A. (ETRANSPASA),Inactiva (activa informalmente)
anterior,Rutas 4200,4202,#008C12,La ETO,Santa Anita,San Martín de Porres,Empresa de Transportes y Servicios Los Olivos S.A. (ETO),Inactiva
anterior,Rutas 4200,4203,#FFA229,Ninguno,Huaycán,Rímac,Empresa de Transporte Múltiples Camira S.A.C.,Inactiva
anterior,Rutas 4200,4204,#5C2500,La 47,Ate,San Martín de Porres,Empresa de Transportes Sol de Oro S.A.C. (ETSOSAC),Activa
anterior,Rutas 4200,4205,#0B004F,La 505,Ate,San Martín de Porres,Vishenzo Investment Company 505 S.A.C.,Activa
anterior,Rutas 4200,4206,#007000,La 505,Ate,San Martín de Porres,Expresso Doce S.A.C.,Activa
anterior,Rutas 4200,4207,#FFE330,Ninguno,Ate,San Martín de Porres,Empresa de Transportes y Servicios El Sol de Santa Clara S.A. (ETISSA),Inactiva
anterior,Rutas 4200,4208,#C52B9A,Ninguno,Santa Anita,Los Olivos,Empresa de Transportes y Servicios Los Alizos S.A.,Inactiva
anterior,Rutas 4200,4209,#FF6105,La B - La Covida,Lurigancho/Chosica,San Martín de Porres,Empresa de Transportes Federico Villareal S.A. (ETFVSA),Inactiva
anterior,Rutas 4200,4210,#45FFA2,La 32A,Ate,San Martín de Porres,Empresa de Transportes Virgen de La Asunción S.A. (ETVASA),Activa
anterior,Rutas 4200,4211,#FCDD12,Ninguno,Lurigancho/Chosica,Rímac,Empresa de Transportes 102 S.A.,Activa
anterior,Rutas 4200,4212,#FFFFFF,Ninguno,Ate,San Martín de Porres,Empresa de Transportes y Servicios Los Alizos S.A.,¿?
anterior,Rutas 4300,4301,#E3B03F,La C,Lurigancho/Chosica,San Juan de Lurigancho,Empresa de Transportes Turismo Huánuco S.A. / Empresa de Transportes Urbano Línea 4 S.A. (ETUL4SA),Inactiva
anterior,Rutas 4300,4302,#E61212,Ninguno,Ate,San Juan de Lurigancho,Empresa de Transportes Jerrbus S.A.C. (ETJSAC),Activa
anterior,Rutas 4300,4303,#E61212,Ninguno,Ate,San Juan de Lurigancho,Enpresa Becami S.A.C.,Activa
anterior,Rutas 4300,4304,#DB0000,La 49,Lurigancho/Chosica,San Juan de Lurigancho,Empresa de Transportes Santa Rosa de Jicamarca S.A. (ETSRJSA),Activa
anterior,Rutas 4300,4305 / TVE22 ​,#E3C03F,La C,Lurigancho/Chosica,San Juan de Lurigancho,Empresa de Transportes Urbano Línea 4 S.A. (ETUL4SA) / Empresa de Transportes Turismo Huánuco S.A.,Inactiva
anterior,Rutas 4300,4306,#EB1212,Ninguno,Ate,San Juan de Lurigancho,Comunicación Integral Turismo e Inversiones Urano Tours S.A.,Activa
anterior,Rutas 4300,4307,#EB1212,Ninguno,Lurigancho/Chosica,San Juan de Lurigancho,Comunicación Integral Turismo e Inversiones Urano Tours S.A.,Activa
anterior,Rutas 4300,4308,#FF1008,Ninguno,Ate,San Juan de Lurigancho,Varant S.A.C.,Activa
anterior,Rutas 4400,4401,#0000D9,La B1,Lurigancho/Chosica,Santa Anita,Empresa de Transportes Nuevo Amanecer S.A.,Activa
anterior,Rutas 4400,4402,#0DFFCF,Ninguno,Ate,Lurigancho/Chosica,Empresa de Transporte Importaciones y Servicios H-2 S.A.C.,Activa
anterior,Rutas 4400,4403,#C4BE00,Ninguno,Cieneguilla,Ate,Empresa de Transportes Unión Dorado's S.A.C.,Inactiva
anterior,Rutas 4400,4404,#4F200C,Ninguno,Santa Anita,La Molina,Empresa de Transportes Cuarenta Integrada S.A. (ETRANCISA),Inactiva
anterior,Rutas 4400,4405,#00126E,La 91,Ate,Ate,Empresa de Transportes Nuevo Horizonte S.A. (ETNHOSA),Activa
anterior,Rutas 4400,4406 / CH30,#1900FF,La 119,Huaycán,Lurigancho/Chosica,Empresa de Transportes y Servicios El Triunfo 119 S.A.,Activa
anterior,Rutas 4400,4407,#88FF12,Ninguno,Santa Anita,La Molina,Cruz de Nazareno S.A.,Activa
anterior,Rutas 4400,4408,#5DC9B4,La N,La Molina,Chaclacayo,Transportes Premier El Nazareno S.A.,Activa
anterior,Rutas 4400,4409 / TVE54,#5F2B87,La A1,Lurigancho/Chosica,La Molina,Empresa de Transporte Turismo y Servicios Constructores S.A. (ETRANSCO),Activa
anterior,Rutas 4400,4410 / TVE52 ​,#046B00,La A1,Lurigancho/Chosica,Ate,Levaro S.A.C.,Inactiva
anterior,Rutas 4400,4411,#FFFFFF,Ruta no licitada.,,,,
anterior,Rutas 4400,4412,#47703A,La A,Ate,Cieneguilla,Empresa de Transporte Rápido Musa S.A. (ETRAMUSA),Inactiva
anterior,Rutas 4400,4413,#0B6CA3,Ninguno,Cieneguilla,Ate,Empresa de Transporte Urbano El Molinero Express S.A. (ETRUMESA),Activa
anterior,Rutas 4400,4414,#49733B,La C,Ate,La Molina,Empresa de Transporte Rápido Musa S.A. (ETRAMUSA),Inactiva
anterior,Rutas 4400,4415,#E80202,La C,Ate,Ate,Agrupación de Transportistas en Camionetas Rurales S.A. (ATCRSA),Activa
anterior,Rutas 4400,4416,#436937,La G,Ate,Cieneguilla,Empresa de Transportes Rápido Musa S.A. (ETRAMUSA),Activa
anterior,Rutas 4400,4417,#EBEB00,La B1,Lurigancho/Chosica,Ate,Inversiones Empresariales Nuevo Amanecer S.A.C. / Varant S.A.C.,Activa
anterior,Rutas 4400,4418,#FF0548,La A1,Lurigancho/Chosica,Ate,Inversiones Rimarz S.A.C.,Activa
anterior,Rutas 4400,4419,#FF0055,La A1,Lurigancho/Chosica,Ate,Empresa de Transportes Múltiples San Pablo S.A.C.,Activa
anterior,Rutas 4400,4420 ​,#00B8FF,La C,Lurigancho/Chosica,Santa Anita,Transporte Universal y Múltiples Inversiones S.A. (TUMISA),Activa ​
anterior,Rutas 4400,4481,#FFE605,Ninguno,Lurigancho/Chosica,Chaclacayo,Empresa de Transportes Ñaña S.A.C.,Activa
anterior,Rutas 4400,4482,#A6FFA6,Ninguno,Ate,Huaycán,Servicios Múltiples e Inversiones Nievería S.A.C.,Activa
anterior,Rutas 4400,4483,#FF0000,Ninguno,Lurigancho/Chosica,Ate,Comunicación Integral Turismo e Inversiones Urano Tours S.A.,Activa
anterior,Rutas 4400,4485,#2073C7,La HZ,Huaycán,Huaycán,Empresa de Transportes y Servicios 27 de Enero S.A.,Activa
anterior,Rutas 4400,4497,#EDEDED,Ninguno,Ate,Lurigancho/Chosica,Rutas En Zonas No Atendidas (REZNA),Inactiva
anterior,Rutas 4500,4501 / CCH04,#C30000,La 78 - El Chosicano,Ricardo Palma,San Miguel,Empresa de Transportes 78 S.A.,Activa
anterior,Rutas 4500,4502,#D5BC8B,La HCT - El Huaycanero,Huaycán,Lima,Empresa de Transporte y Turismo Huaycán S.A. (ETRANTURHSA),Activa
anterior,Rutas 4500,4503,#FF0F0F,Ninguno,Santa Anita,Lima,Empresa de Transportes y Servicios Peralitos S.A.,Activa
anterior,Rutas 4500,4504,#05016B,La HGK - El Huaycanero,Huaycán,Lima,Empresa de Servicios Múltiples Nuevo Perú S.A.,Activa
anterior,Rutas 4500,4505 / CCH02,#017305,El Chosicano,Ricardo Palma,San Miguel,Empresa de Transportes y Representaciones Sarita Colonia y Villa Sol S.A. (ETRESCOVISSA),Activa
anterior,Rutas 4500,4506 / 129P,#D61A1A,El Chosicano,Ricardo Palma,San Miguel,Empresa de Transportes y Servicios Lima Chosica S.A. (ETYSLCHSA),Activa
anterior,Rutas 4500,4507 / CH17A,#1F26FF,El Chosicano,Ricardo Palma,Lima,Empresa de Transportes y Servicios Nueva Era Señor de Muruhuay S.A. (ETSNESMSA),Activa
anterior,Rutas 4500,4508 / CCH05,#C30000,La 78 - El Chosicano,Lurigancho/Chosica,Lima,Empresa de Transportes 78 S.A.,Inhabilitada
anterior,Rutas 4500,4509,#0C0E52,La 60C,Ate,Jesús María,Cooperativa de Transporte Comité Cien Ltda.,Inactiva
anterior,Rutas 4500,4510,#9C1414,Ninguno,Ate,Jesús María,Empresa de Transportes Bronco S.A. (ETBRONSA),Activa
anterior,Rutas 4500,4511,#0758B5,La IC,Ate,Lima,Multiservicios e Inversiones Virgen de Copacabana S.A.C. (MIVICOSAC),Inactiva
anterior,Rutas 4500,4512,#FFF945,La B,Lurigancho/Chosica,San Miguel,Vargasant S.A.C.,Activa
anterior,Rutas 4500,4513,#FF1919,Ninguno,Lurigancho/Chosica,Lima,Empresa de Transportes y Servicios Peralitos S.A.,Activa
anterior,Rutas 4500,4514,#FF0F0F,La 75A,Huaycán,Lima,Empresa de Transportes Las Águilas 75 S.A. (ETLA75SA),Inactiva
anterior,Rutas 4500,4515,#4FA500,La H - La Z,Huaycán,La Perla,Empresa de Transportes y Servicios Santa Rosa de Lima S.A. (ETSRLSA),Activa
anterior,Rutas 4500,4516,#B80422,La 20,Ate,San Miguel,Empresa de Transportes y Servicios Los Expertos y Somos Más S.A.,Activa
anterior,Rutas 4600,4601,#06EF56,La B,Lurigancho/Chosica,La Victoria,Empresa de Transportes e Inversiones Múltiples Chacarilla Tours S.A.C. (ETIMCTSAC),Activa
anterior,Rutas 4600,4602,#FF03F7,La A1,Lurigancho/Chosica,La Victoria,Empresa de Transportes El Tumi S.A. (TRANSTUSA),Inactiva
anterior,Rutas 4600,4603,#EBEB00,La B1,Lurigancho/Chosica,La Victoria,Empresa de Transportes Yagasol S.A.C.,Inactiva
anterior,Rutas 4600,4604,#0808FF,Ninguno,Huaycán,La Victoria,Empresa de Transportes y Turismo Santa Anita S.R.L. (EMTTURSASRL),Activa
anterior,Rutas 4600,4605,#FF0055,La A1,Lurigancho/Chosica,San Luis,Empresa de Transportes Múltiples San Pablo S.A.C.,Inactiva
anterior,Rutas 4600,4606,#E80202,La C,Ate,Lince,Agrupación de Transportistas en Camionetas S.A. (ATCRSA),Inactiva
anterior,Rutas 4600,4607,#0013BA,Ninguno,Ate,La Victoria,Empresa de Transportes Unidos San Martín de Porres S.A. (ETUSMPSA),Activa
anterior,Rutas 4600,4608,#FFF700,Ninguno,Ate,La Victoria,"Empresa de Transporte, Servicios y Comercialización Sol de Amauta S.A.",Activa
anterior,Rutas 4600,4609,#151F5C,La B,Ate,San Isidro,Empresa de Transportes Nuestra Señora del Sagrado Corazón S.A. (ETNUSSACSA),Activa
anterior,Rutas 4600,4610,#1E2C82,La B - La 112,Ate,San Isidro,Empresa de Transportes Miraflores Monterrico S.A. (ETMIMSA),Activa
anterior,Rutas 4600,4611,#00008A,La 51,Lurigancho/Chosica,La Victoria,Empresa de Transportes y Servicios San Juan Bautista S.A. (ETSSJBSA),Activa
anterior,Rutas 4600,4612,#00990A,Ninguno,Huaycán,La Victoria,Empresa de Transportes y Servicios Múltiples Comercialización 14 de Mayo S.A.C.,Activa
anterior,Rutas 4600,4613,#006B0B,Ninguno,Huaycán,La Victoria,Transportes y Servicios Múltiples Perla de Los Andes S.A.C. (TRASMPERSAC),Activa
anterior,Rutas 4600,4614,#75574D,La 63,Ate,La Victoria,Empresa de Transportes y Servicios Sesentitrés S.A.,Activa
anterior,Rutas 4600,4615,#FF0548,La A1,Lurigancho/Chosica,La Victoria,Inversiones Rimarz S.A.C.,Inactiva
anterior,Rutas 4600,4616,#FFC70F,Ninguno,Ate,San Luis,Empresa de Transportes Tumi siglo XXI S.A.,Activa
anterior,Rutas 4600,4617,#FFB70F,Ninguno,Ate,San Luis,Romyjoiv S.A.,Activa
anterior,Rutas 4600,4618,#0013BA,Ninguno,Ate,La Victoria,Empresa de Transportes Unidos San Martín de Porres S.A. (ETUSMPSA),Activa
anterior,Rutas 4600,4619,#1BBFA4,La HCT - El Huaycanero,Huaycán,La Victoria,Empresa de Transporte y Turismo Huaycán S.A. (ETRANTURHSA),Activa
anterior,Rutas 4600,4620,#D61406,Ninguno,Huaycán,La Victoria,Empresa de Transportes Urbano Huaycán S.A.,Activa
anterior,Rutas 4600,4621,#47703A,La C,Ate,La Molina,Empresa de Transporte Rápido Musa S.A. (ETRAMUSA),Inactiva
anterior,Rutas 4600,4622,#FFEF08,Ninguno,Ate,Miraflores,Empresa de Transporte Angamos S.A.,Activa
anterior,Rutas 4600,4623,#FFA229,Ninguno,Huaycán,La Victoria,Transportes e Inversiones Sin Fronteras S.A.C.,Activa
anterior,Rutas 4600,4624 / TVE52 ​,#046B00,La A1,Lurigancho/Chosica,La Victoria,Levaro S.A.C.,Activa
anterior,Rutas 4700,4701,#FFEF08,Ninguno,Ate,Miraflores,Empresa de Transporte Angamos S.A.,Inactiva
anterior,Rutas 4700,4702,#FF5E00,La CH,Ate,San Juan de Miraflores,Transportes y Service Canadá S.A.,Inactiva
anterior,Rutas 4700,4703,#070A66,La 91,Ate,Chorrillos,Empresa de Transportes Consorcio Santo Cristo S.A.,Activa
anterior,Rutas 4800,4801,#68BCEB,La G - La 65,Ate,Pachacámac,Carrocerías Rivera S.A.C.,Inactiva
anterior,Rutas 4800,4884,#B6FF57,Ninguno,La Molina,Pachacámac,Empresa de Transportes y Servicios Galindo Hermanos S.A.C.,Activa
anterior,Rutas 4900,4901,#AD9600,La 19 - La N,Lurigancho/Chosica,Callao,Empresa de Transportes y Servicios San Cristóbal Palcamayo S.A.,Activa
anterior,Rutas 4900,4902,#21917F,La 129B,Ate,Callao,Transportes Pesqueros S.A.,Activa
anterior,Rutas 4900,4903,#0B6CA3,Ninguno,Cieneguilla,Callao,Empresa de Transporte Urbano El Molinero Express S.A. (ETRUMESA),Inactiva
anterior,Rutas 4900,4904,#FFD500,La 19,Ate,Callao,Empresa de Transportes Gocarive 19 S.A.,Activa
anterior,Rutas 4900,4905,#00B8FF,La C - La 01,Ate,Callao,Empresa de Transportes Álamo Express S.A. (ETALEXSA),Activa
anterior,Rutas 4900,4906,#0F8A01,La S4,Santa Anita,La Punta,Empresa de Transportes Especial Solidaridad S.A. (EMTESSA),Inactiva
anterior,Rutas 4900,4907,#EB1212,Ninguno,Lurigancho/Chosica,Callao,Comunicación Integral Turismo e Inversiones Urano Tours S.A.,Inactiva
anterior,Rutas 4900,4908,#7D0202,La 71B,Ate,Callao,Empresa de Transportes El Carmen de la Punta S.A. (ETCAPSA),Activa
anterior,Rutas 4900,4909,#49733B,La G,Ate,Callao,Empresa de Transporte Rápido Musa S.A. (ETRAMUSA),Inactiva
anterior,Rutas 4900,4910,#47703A,La A,Cieneguilla,Callao,Empresa de Transporte Rápido Musa S.A. (ETRAMUSA),Inactiva
anterior,Rutas 4900,4911,#30A130,Ninguno,Ate,Callao,Empresa de Transportes y Servicios Almirante Miguel Grau S.A. (ETSAMIGSA),Activa
anterior,Rutas 4900,4912,#FF6105,La B - El Covichino,Lurigancho/Chosica,Callao,Empresa de Transportes Federico Villareal S.A. (ETFVSA),Inactiva
anterior,Rutas 4900,4913,#4FA500,La H - La Z,Huaycán,La Perla,Empresa de Transportes y Servicios Santa Rosa de Lima S.A. (ETSRLSA),Activa
anterior,Rutas 5100,5101,#140099,La 41 - La Cocharcas,Jesús María,Puente Piedra,Empresa de Transportes José Leal Cocharcas S.A. (ETJLCSA),Inactiva
anterior,Rutas 5200,5201,#1AAB23,Ninguno,San Miguel,Independencia,Empresa de Transporte Urbano Víctor Raúl Haya de La Torre S.R.L. (EMTURSASRL),Inactiva
anterior,Rutas 5200,5202,#888888,La D,San Miguel,Rímac,Empresa de Transportes y Servicios Nueva América S.A. (TRANSNASA),Inactiva
anterior,Rutas 5300,5301,#FF9022,La Z,San Miguel,San Juan de Lurigancho,Empresa de Transportes El Amauta S.A. (ETEASA),Activa
anterior,Rutas 5300,5302,#FF0F0F,La 75B,San Miguel,San Juan de Lurigancho,Empresa de Transportes Las Águilas 75 S.A. (ETLA75SA),Inactiva
anterior,Rutas 5300,5303,#FFFF00,La M,San Miguel,El Agustino,Empresa de Transportes Próceres S.A.,Activa
anterior,Rutas 5400,5401 / CCH01,#25A605,El Chosicano,Lima,Santa Eulalia,Empresa de Transportes y Servicios Turismo Carretera Central S.A.C. (EMTRACACE),Activa
anterior,Rutas 5600,5601,#004F08,El Urbanito,Lima,La Victoria,Empresa de Transporte y Servicios Múltiples Satélite S.A. (ETRASEMUSSA),Inactiva
anterior,Rutas 5700,5701,#0DBD7C,La 57,Lima,Chorrillos,Empresa de Transporte Servicios Turismo e Inversiones Norteamérica S.A.C.,Inactiva
